weather tornado 1900, cosine similarity=0.08
tree plaza 1960, cosine similarity=0.15
tree plaza 1970, cosine similarity=0.13
tree plaza 1980, cosine similarity=0.08
tree plaza 1990, cosine similarity=0.07

green grass 1900, cosine similarity=0.44
green grass 1910, cosine similarity=0.40
green grass 1920, cosine similarity=0.40
green grass 1930, cosine similarity=0.41
green grass 1940, cosine similarity=0.44
green grass 1950, cosine similarity=0.40
green grass 1960, cosine similarity=0.44
green grass 1970, cosine similarity=0.37
green grass 1980, cosine similarity=0.37
green grass 1990, cosine similarity=0.35

green frogs 1900, cosine similarity=0.15
green frogs 1910, cosine similarity=0.10
green frogs 1920, cosine similarity=0.11
green frogs 1930, cosine similarity=0.10
green frogs 1940, cosine similarity=0.12
green frogs 1950, cosine similarity=0.19
green frogs 1960, cosine similarity=0.12
green frogs 1970, cosine similarity=0.13
green frogs 1980, cosine similarity=0.16
green frogs 1990, cosine similarity=0.07

green giant 1900, cosine similarity=0.20
green giant 1910, cosine similarity=0.14
green giant 1920, cosine similarity=0.20
green giant 1930, cosine similarity=0.15
green giant 1940, cosine similarity=0.08
green giant 1950, cosine similarity=0.18
green giant 1960, cosine similarity=0.08
green giant 1970, cosine similarity=0.09
green giant 1980, cosine similarity=0.15
green giant 1990, cosine similarity=0.14

 fork 1900, cosine similarity=0.00
 fork 1910, cosine similarity=0.00
 fork 1920, cosine similarity=0.00
 fork 1930, cosine similarity=0.00
 fork 1940, cosine similarity=0.00
 fork 1950, cosine similarity=0.00
 fork 1960, cosine similarity=0.00
 fork 1970, cosine similarity=0.00
 fork 1980, cosine similarity=0.00
 fork 1990, cosine similarity=0.00

 mixer 1900, cosine similarity=0.00
 mixer 1910, cosine similarity=0.00
 mixer 1920, cosine similarity=0.00
 mixer 1930, cosine similarity=0.00
 mixer 1940, cosine similarity=0.00
 mixer 1950, cosine similarity=0.00
 mixer 1960, cosine similarity=0.00
 mixer 1970, cosine similarity=0.00
 mixer 1980, cosine similarity=0.00
 mixer 1990, cosine similarity=0.00

 text 1900, cosine similarity=0.00
 text 1910, cosine similarity=0.00
 text 1920, cosine similarity=0.00
 text 1930, cosine similarity=0.00
 text 1940, cosine similarity=0.00
 text 1950, cosine similarity=0.00
 text 1960, cosine similarity=0.00
 text 1970, cosine similarity=0.00
 text 1980, cosine similarity=0.00
 text 1990, cosine similarity=0.00

metal steel 1900, cosine similarity=0.51
metal steel 1910, cosine similarity=0.51
metal steel 1920, cosine similarity=0.51
metal steel 1930, cosine similarity=0.47
metal steel 1940, cosine similarity=0.55
metal steel 1950, cosine similarity=0.49
metal steel 1960, cosine similarity=0.52
metal steel 1970, cosine similarity=0.48
metal steel 1980, cosine similarity=0.46
metal steel 1990, cosine similarity=0.52

metal tin 1900, cosine similarity=0.49
metal tin 1910, cosine similarity=0.43
metal tin 1920, cosine similarity=0.44
metal tin 1930, cosine similarity=0.51
metal tin 1940, cosine similarity=0.43
metal tin 1950, cosine similarity=0.41
metal tin 1960, cosine similarity=0.41
metal tin 1970, cosine similarity=0.37
metal tin 1980, cosine similarity=0.37
metal tin 1990, cosine similarity=0.42

metal halo 1900, cosine similarity=0.07
metal halo 1910, cosine similarity=0.07
metal halo 1920, cosine similarity=0.12
metal halo 1930, cosine similarity=0.05
metal halo 1940, cosine similarity=0.00
metal halo 1950, cosine similarity=0.04
metal halo 1960, cosine similarity=0.04
metal halo 1970, cosine similarity=0.06
metal halo 1980, cosine similarity=0.08
metal halo 1990, cosine similarity=0.16

animal dog 1900, cosine similarity=0.34
animal dog 1910, cosine similarity=0.37
animal dog 1920, cosine similarity=0.39
animal dog 1930, cosine similarity=0.34
animal dog 1940, cosine similarity=0.36
animal dog 1950, cosine similarity=0.34
animal dog 1960, cosine similarity=0.39
animal dog 1970, cosine similarity=0.37
animal dog 1980, cosine similarity=0.33
animal dog 1990, cosine similarity=0.37

animal mouse 1900, cosine similarity=0.20
animal mouse 1910, cosine similarity=0.26
animal mouse 1920, cosine similarity=0.27
animal mouse 1930, cosine similarity=0.26
animal mouse 1940, cosine similarity=0.27
animal mouse 1950, cosine similarity=0.29
animal mouse 1960, cosine similarity=0.27
animal mouse 1970, cosine similarity=0.30
animal mouse 1980, cosine similarity=0.24
animal mouse 1990, cosine similarity=0.15

animal pink 1900, cosine similarity=0.05
animal pink 1910, cosine similarity=0.09
animal pink 1920, cosine similarity=0.12
animal pink 1930, cosine similarity=-0.01
animal pink 1940, cosine similarity=0.04
animal pink 1950, cosine similarity=0.03
animal pink 1960, cosine similarity=0.02
animal pink 1970, cosine similarity=0.04
animal pink 1980, cosine similarity=0.08
animal pink 1990, cosine similarity=0.09

bicycle wheel 1900, cosine similarity=0.34
bicycle wheel 1910, cosine similarity=0.35
bicycle wheel 1920, cosine similarity=0.34
bicycle wheel 1930, cosine similarity=0.37
bicycle wheel 1940, cosine similarity=0.37
bicycle wheel 1950, cosine similarity=0.42
bicycle wheel 1960, cosine similarity=0.35
bicycle wheel 1970, cosine similarity=0.38
bicycle wheel 1980, cosine similarity=0.32
bicycle wheel 1990, cosine similarity=0.34

bicycle lock 1900, cosine similarity=0.18
bicycle lock 1910, cosine similarity=0.15
bicycle lock 1920, cosine similarity=0.11
bicycle lock 1930, cosine similarity=0.18
bicycle lock 1940, cosine similarity=0.18
bicycle lock 1950, cosine similarity=0.17
bicycle lock 1960, cosine similarity=0.22
bicycle lock 1970, cosine similarity=0.21
bicycle lock 1980, cosine similarity=0.18
bicycle lock 1990, cosine similarity=0.11

bicycle store 1900, cosine similarity=0.03
bicycle store 1910, cosine similarity=0.17
bicycle store 1920, cosine similarity=0.14
bicycle store 1930, cosine similarity=0.22
bicycle store 1940, cosine similarity=0.19
bicycle store 1950, cosine similarity=0.21
bicycle store 1960, cosine similarity=0.14
bicycle store 1970, cosine similarity=0.16
bicycle store 1980, cosine similarity=0.07
bicycle store 1990, cosine similarity=0.10

wood oak 1900, cosine similarity=0.43
wood oak 1910, cosine similarity=0.35
wood oak 1920, cosine similarity=0.38
wood oak 1930, cosine similarity=0.36
wood oak 1940, cosine similarity=0.35
wood oak 1950, cosine similarity=0.30
wood oak 1960, cosine similarity=0.34
wood oak 1970, cosine similarity=0.31
wood oak 1980, cosine similarity=0.30
wood oak 1990, cosine similarity=0.29

wood elm 1900, cosine similarity=0.28
wood elm 1910, cosine similarity=0.24
wood elm 1920, cosine similarity=0.24
wood elm 1930, cosine similarity=0.29
wood elm 1940, cosine similarity=0.25
wood elm 1950, cosine similarity=0.26
wood elm 1960, cosine similarity=0.24
wood elm 1970, cosine similarity=0.25
wood elm 1980, cosine similarity=0.17
wood elm 1990, cosine similarity=0.13

wood key 1900, cosine similarity=0.07
wood key 1910, cosine similarity=0.03
wood key 1920, cosine similarity=0.09
wood key 1930, cosine similarity=0.04
wood key 1940, cosine similarity=0.02
wood key 1950, cosine similarity=0.02
wood key 1960, cosine similarity=0.02
wood key 1970, cosine similarity=0.01
wood key 1980, cosine similarity=-0.09
wood key 1990, cosine similarity=-0.03

season fall 1900, cosine similarity=0.15
season fall 1910, cosine similarity=0.17
season fall 1920, cosine similarity=0.18
season fall 1930, cosine similarity=0.09
season fall 1940, cosine similarity=0.15
season fall 1950, cosine similarity=0.18
season fall 1960, cosine similarity=0.14
season fall 1970, cosine similarity=0.19
season fall 1980, cosine similarity=0.14
season fall 1990, cosine similarity=0.18

season hunting 1900, cosine similarity=0.25
season hunting 1910, cosine similarity=0.23
season hunting 1920, cosine similarity=0.23
season hunting 1930, cosine similarity=0.29
season hunting 1940, cosine similarity=0.25
season hunting 1950, cosine similarity=0.26
season hunting 1960, cosine similarity=0.26
season hunting 1970, cosine similarity=0.23
season hunting 1980, cosine similarity=0.27
season hunting 1990, cosine similarity=0.21

season force 1900, cosine similarity=-0.06
season force 1910, cosine similarity=-0.05
season force 1920, cosine similarity=-0.00
season force 1930, cosine similarity=0.00
season force 1940, cosine similarity=-0.06
season force 1950, cosine similarity=-0.03
season force 1960, cosine similarity=-0.03
season force 1970, cosine similarity=-0.01
season force 1980, cosine similarity=-0.01
season force 1990, cosine similarity=-0.03

music rap 1900, cosine similarity=0.05
music rap 1910, cosine similarity=0.05
music rap 1920, cosine similarity=0.06
music rap 1930, cosine similarity=-0.02
music rap 1940, cosine similarity=0.08
music rap 1950, cosine similarity=0.01
music rap 1960, cosine similarity=0.08
music rap 1970, cosine similarity=0.11
music rap 1980, cosine similarity=0.03
music rap 1990, cosine similarity=0.27

music gospel 1900, cosine similarity=0.13
music gospel 1910, cosine similarity=0.04
music gospel 1920, cosine similarity=0.07
music gospel 1930, cosine similarity=0.09
music gospel 1940, cosine similarity=0.14
music gospel 1950, cosine similarity=0.10
music gospel 1960, cosine similarity=0.08
music gospel 1970, cosine similarity=0.19
music gospel 1980, cosine similarity=0.19
music gospel 1990, cosine similarity=0.15

music riot 1900, cosine similarity=0.08
music riot 1910, cosine similarity=0.05
music riot 1920, cosine similarity=0.15
music riot 1930, cosine similarity=0.10
music riot 1940, cosine similarity=0.16
music riot 1950, cosine similarity=0.09
music riot 1960, cosine similarity=0.05
music riot 1970, cosine similarity=0.03
music riot 1980, cosine similarity=0.07
music riot 1990, cosine similarity=0.17

instrument flute 1900, cosine similarity=0.23
instrument flute 1910, cosine similarity=0.25
instrument flute 1920, cosine similarity=0.29
instrument flute 1930, cosine similarity=0.25
instrument flute 1940, cosine similarity=0.26
instrument flute 1950, cosine similarity=0.24
instrument flute 1960, cosine similarity=0.24
instrument flute 1970, cosine similarity=0.29
instrument flute 1980, cosine similarity=0.26
instrument flute 1990, cosine similarity=0.27

instrument harp 1900, cosine similarity=0.27
instrument harp 1910, cosine similarity=0.21
instrument harp 1920, cosine similarity=0.29
instrument harp 1930, cosine similarity=0.23
instrument harp 1940, cosine similarity=0.21
instrument harp 1950, cosine similarity=0.22
instrument harp 1960, cosine similarity=0.25
instrument harp 1970, cosine similarity=0.31
instrument harp 1980, cosine similarity=0.28
instrument harp 1990, cosine similarity=0.26

instrument snap 1900, cosine similarity=0.09
instrument snap 1910, cosine similarity=0.03
instrument snap 1920, cosine similarity=-0.11
instrument snap 1930, cosine similarity=-0.04
instrument snap 1940, cosine similarity=0.05
instrument snap 1950, cosine similarity=-0.02
instrument snap 1960, cosine similarity=0.07
instrument snap 1970, cosine similarity=0.03
instrument snap 1980, cosine similarity=0.04
instrument snap 1990, cosine similarity=0.01

bread white 1900, cosine similarity=0.15
bread white 1910, cosine similarity=0.06
bread white 1920, cosine similarity=0.15
bread white 1930, cosine similarity=0.19
bread white 1940, cosine similarity=0.19
bread white 1950, cosine similarity=0.16
bread white 1960, cosine similarity=0.14
bread white 1970, cosine similarity=0.18
bread white 1980, cosine similarity=0.14
bread white 1990, cosine similarity=0.13

bread french 1900, cosine similarity=-0.15
bread french 1910, cosine similarity=-0.11
bread french 1920, cosine similarity=-0.14
bread french 1930, cosine similarity=-0.09
bread french 1940, cosine similarity=-0.04
bread french 1950, cosine similarity=-0.12
bread french 1960, cosine similarity=-0.02
bread french 1970, cosine similarity=0.02
bread french 1980, cosine similarity=0.07
bread french 1990, cosine similarity=0.09

bread ruins 1900, cosine similarity=-0.08
bread ruins 1910, cosine similarity=-0.02
bread ruins 1920, cosine similarity=-0.10
bread ruins 1930, cosine similarity=-0.11
bread ruins 1940, cosine similarity=-0.05
bread ruins 1950, cosine similarity=-0.02
bread ruins 1960, cosine similarity=-0.05
bread ruins 1970, cosine similarity=0.00
bread ruins 1980, cosine similarity=0.02
bread ruins 1990, cosine similarity=0.04

fuel gas 1900, cosine similarity=0.43
fuel gas 1910, cosine similarity=0.42
fuel gas 1920, cosine similarity=0.42
fuel gas 1930, cosine similarity=0.47
fuel gas 1940, cosine similarity=0.43
fuel gas 1950, cosine similarity=0.45
fuel gas 1960, cosine similarity=0.43
fuel gas 1970, cosine similarity=0.49
fuel gas 1980, cosine similarity=0.40
fuel gas 1990, cosine similarity=0.46

fuel coal 1900, cosine similarity=0.53
fuel coal 1910, cosine similarity=0.46
fuel coal 1920, cosine similarity=0.49
fuel coal 1930, cosine similarity=0.49
fuel coal 1940, cosine similarity=0.44
fuel coal 1950, cosine similarity=0.44
fuel coal 1960, cosine similarity=0.41
fuel coal 1970, cosine similarity=0.53
fuel coal 1980, cosine similarity=0.45
fuel coal 1990, cosine similarity=0.44

fuel kid 1900, cosine similarity=0.02
fuel kid 1910, cosine similarity=-0.06
fuel kid 1920, cosine similarity=-0.07
fuel kid 1930, cosine similarity=-0.11
fuel kid 1940, cosine similarity=-0.03
fuel kid 1950, cosine similarity=-0.01
fuel kid 1960, cosine similarity=0.03
fuel kid 1970, cosine similarity=-0.04
fuel kid 1980, cosine similarity=-0.04
fuel kid 1990, cosine similarity=-0.01

hikers boots 1900, cosine similarity=0.00
hikers boots 1910, cosine similarity=0.00
hikers boots 1920, cosine similarity=0.00
hikers boots 1930, cosine similarity=0.00
hikers boots 1940, cosine similarity=0.00
hikers boots 1950, cosine similarity=0.00
hikers boots 1960, cosine similarity=0.00
hikers boots 1970, cosine similarity=0.00
hikers boots 1980, cosine similarity=0.16
hikers boots 1990, cosine similarity=0.22

hikers compass 1900, cosine similarity=0.00
hikers compass 1910, cosine similarity=0.00
hikers compass 1920, cosine similarity=0.00
hikers compass 1930, cosine similarity=0.00
hikers compass 1940, cosine similarity=0.00
hikers compass 1950, cosine similarity=0.00
hikers compass 1960, cosine similarity=0.00
hikers compass 1970, cosine similarity=0.00
hikers compass 1980, cosine similarity=0.10
hikers compass 1990, cosine similarity=0.07

hikers track 1900, cosine similarity=0.00
hikers track 1910, cosine similarity=0.00
hikers track 1920, cosine similarity=0.00
hikers track 1930, cosine similarity=0.00
hikers track 1940, cosine similarity=0.00
hikers track 1950, cosine similarity=0.00
hikers track 1960, cosine similarity=0.00
hikers track 1970, cosine similarity=0.00
hikers track 1980, cosine similarity=0.12
hikers track 1990, cosine similarity=0.14

flies bird 1900, cosine similarity=0.40
flies bird 1910, cosine similarity=0.38
flies bird 1920, cosine similarity=0.44
flies bird 1930, cosine similarity=0.39
flies bird 1940, cosine similarity=0.39
flies bird 1950, cosine similarity=0.43
flies bird 1960, cosine similarity=0.38
flies bird 1970, cosine similarity=0.37
flies bird 1980, cosine similarity=0.38
flies bird 1990, cosine similarity=0.31

flies bat 1900, cosine similarity=0.29
flies bat 1910, cosine similarity=0.26
flies bat 1920, cosine similarity=0.29
flies bat 1930, cosine similarity=0.27
flies bat 1940, cosine similarity=0.30
flies bat 1950, cosine similarity=0.26
flies bat 1960, cosine similarity=0.25
flies bat 1970, cosine similarity=0.26
flies bat 1980, cosine similarity=0.18
flies bat 1990, cosine similarity=0.18

flies rice 1900, cosine similarity=0.05
flies rice 1910, cosine similarity=0.07
flies rice 1920, cosine similarity=0.03
flies rice 1930, cosine similarity=0.01
flies rice 1940, cosine similarity=0.10
flies rice 1950, cosine similarity=0.05
flies rice 1960, cosine similarity=0.09
flies rice 1970, cosine similarity=0.15
flies rice 1980, cosine similarity=0.05
flies rice 1990, cosine similarity=0.16

body arm 1900, cosine similarity=0.24
body arm 1910, cosine similarity=0.18
body arm 1920, cosine similarity=0.20
body arm 1930, cosine similarity=0.19
body arm 1940, cosine similarity=0.16
body arm 1950, cosine similarity=0.23
body arm 1960, cosine similarity=0.25
body arm 1970, cosine similarity=0.25
body arm 1980, cosine similarity=0.26
body arm 1990, cosine similarity=0.23

body neck 1900, cosine similarity=0.30
body neck 1910, cosine similarity=0.23
body neck 1920, cosine similarity=0.25
body neck 1930, cosine similarity=0.21
body neck 1940, cosine similarity=0.31
body neck 1950, cosine similarity=0.27
body neck 1960, cosine similarity=0.29
body neck 1970, cosine similarity=0.29
body neck 1980, cosine similarity=0.29
body neck 1990, cosine similarity=0.31

body rag 1900, cosine similarity=0.02
body rag 1910, cosine similarity=0.03
body rag 1920, cosine similarity=0.07
body rag 1930, cosine similarity=0.04
body rag 1940, cosine similarity=0.05
body rag 1950, cosine similarity=0.02
body rag 1960, cosine similarity=-0.03
body rag 1970, cosine similarity=0.02
body rag 1980, cosine similarity=0.01
body rag 1990, cosine similarity=0.08

house bathroom 1900, cosine similarity=0.15
house bathroom 1910, cosine similarity=0.23
house bathroom 1920, cosine similarity=0.16
house bathroom 1930, cosine similarity=0.28
house bathroom 1940, cosine similarity=0.25
house bathroom 1950, cosine similarity=0.26
house bathroom 1960, cosine similarity=0.22
house bathroom 1970, cosine similarity=0.23
house bathroom 1980, cosine similarity=0.26
house bathroom 1990, cosine similarity=0.20

house study 1900, cosine similarity=-0.06
house study 1910, cosine similarity=-0.03
house study 1920, cosine similarity=-0.11
house study 1930, cosine similarity=-0.07
house study 1940, cosine similarity=-0.12
house study 1950, cosine similarity=-0.04
house study 1960, cosine similarity=0.02
house study 1970, cosine similarity=-0.05
house study 1980, cosine similarity=-0.02
house study 1990, cosine similarity=-0.09

house zombie 1900, cosine similarity=0.00
house zombie 1910, cosine similarity=0.00
house zombie 1920, cosine similarity=0.00
house zombie 1930, cosine similarity=0.00
house zombie 1940, cosine similarity=0.00
house zombie 1950, cosine similarity=0.00
house zombie 1960, cosine similarity=0.00
house zombie 1970, cosine similarity=0.00
house zombie 1980, cosine similarity=0.00
house zombie 1990, cosine similarity=0.00

clothing socks 1900, cosine similarity=0.25
clothing socks 1910, cosine similarity=0.34
clothing socks 1920, cosine similarity=0.25
clothing socks 1930, cosine similarity=0.31
clothing socks 1940, cosine similarity=0.31
clothing socks 1950, cosine similarity=0.35
clothing socks 1960, cosine similarity=0.32
clothing socks 1970, cosine similarity=0.31
clothing socks 1980, cosine similarity=0.28
clothing socks 1990, cosine similarity=0.32

clothing tie 1900, cosine similarity=0.08
clothing tie 1910, cosine similarity=0.14
clothing tie 1920, cosine similarity=0.11
clothing tie 1930, cosine similarity=0.11
clothing tie 1940, cosine similarity=0.15
clothing tie 1950, cosine similarity=0.15
clothing tie 1960, cosine similarity=0.10
clothing tie 1970, cosine similarity=0.16
clothing tie 1980, cosine similarity=0.09
clothing tie 1990, cosine similarity=0.12

clothing item 1900, cosine similarity=0.13
clothing item 1910, cosine similarity=0.15
clothing item 1920, cosine similarity=0.10
clothing item 1930, cosine similarity=0.15
clothing item 1940, cosine similarity=0.18
clothing item 1950, cosine similarity=0.17
clothing item 1960, cosine similarity=0.19
clothing item 1970, cosine similarity=0.18
clothing item 1980, cosine similarity=0.20
clothing item 1990, cosine similarity=0.22

animal pig 1900, cosine similarity=0.29
animal pig 1910, cosine similarity=0.29
animal pig 1920, cosine similarity=0.28
animal pig 1930, cosine similarity=0.27
animal pig 1940, cosine similarity=0.31
animal pig 1950, cosine similarity=0.33
animal pig 1960, cosine similarity=0.31
animal pig 1970, cosine similarity=0.31
animal pig 1980, cosine similarity=0.22
animal pig 1990, cosine similarity=0.30

animal mule 1900, cosine similarity=0.18
animal mule 1910, cosine similarity=0.20
animal mule 1920, cosine similarity=0.15
animal mule 1930, cosine similarity=0.18
animal mule 1940, cosine similarity=0.17
animal mule 1950, cosine similarity=0.19
animal mule 1960, cosine similarity=0.19
animal mule 1970, cosine similarity=0.19
animal mule 1980, cosine similarity=0.17
animal mule 1990, cosine similarity=0.20

animal pipe 1900, cosine similarity=-0.01
animal pipe 1910, cosine similarity=-0.06
animal pipe 1920, cosine similarity=-0.03
animal pipe 1930, cosine similarity=-0.03
animal pipe 1940, cosine similarity=-0.09
animal pipe 1950, cosine similarity=-0.01
animal pipe 1960, cosine similarity=0.06
animal pipe 1970, cosine similarity=0.02
animal pipe 1980, cosine similarity=-0.08
animal pipe 1990, cosine similarity=0.00

job doctor 1900, cosine similarity=0.17
job doctor 1910, cosine similarity=0.15
job doctor 1920, cosine similarity=0.21
job doctor 1930, cosine similarity=0.22
job doctor 1940, cosine similarity=0.21
job doctor 1950, cosine similarity=0.20
job doctor 1960, cosine similarity=0.16
job doctor 1970, cosine similarity=0.18
job doctor 1980, cosine similarity=0.15
job doctor 1990, cosine similarity=0.20

job banker 1900, cosine similarity=0.09
job banker 1910, cosine similarity=0.10
job banker 1920, cosine similarity=0.13
job banker 1930, cosine similarity=0.10
job banker 1940, cosine similarity=0.08
job banker 1950, cosine similarity=0.08
job banker 1960, cosine similarity=0.09
job banker 1970, cosine similarity=0.07
job banker 1980, cosine similarity=0.14
job banker 1990, cosine similarity=0.10

job puppet 1900, cosine similarity=0.06
job puppet 1910, cosine similarity=0.08
job puppet 1920, cosine similarity=0.06
job puppet 1930, cosine similarity=-0.01
job puppet 1940, cosine similarity=0.00
job puppet 1950, cosine similarity=0.01
job puppet 1960, cosine similarity=-0.00
job puppet 1970, cosine similarity=-0.07
job puppet 1980, cosine similarity=-0.06
job puppet 1990, cosine similarity=-0.09

read newspaper 1900, cosine similarity=0.29
read newspaper 1910, cosine similarity=0.27
read newspaper 1920, cosine similarity=0.27
read newspaper 1930, cosine similarity=0.29
read newspaper 1940, cosine similarity=0.29
read newspaper 1950, cosine similarity=0.30
read newspaper 1960, cosine similarity=0.25
read newspaper 1970, cosine similarity=0.28
read newspaper 1980, cosine similarity=0.30
read newspaper 1990, cosine similarity=0.32

read letter 1900, cosine similarity=0.32
read letter 1910, cosine similarity=0.28
read letter 1920, cosine similarity=0.32
read letter 1930, cosine similarity=0.25
read letter 1940, cosine similarity=0.31
read letter 1950, cosine similarity=0.31
read letter 1960, cosine similarity=0.36
read letter 1970, cosine similarity=0.31
read letter 1980, cosine similarity=0.27
read letter 1990, cosine similarity=0.23

read vulture 1900, cosine similarity=-0.18
read vulture 1910, cosine similarity=-0.01
read vulture 1920, cosine similarity=-0.07
read vulture 1930, cosine similarity=-0.05
read vulture 1940, cosine similarity=-0.10
read vulture 1950, cosine similarity=-0.07
read vulture 1960, cosine similarity=-0.07
read vulture 1970, cosine similarity=-0.04
read vulture 1980, cosine similarity=-0.00
read vulture 1990, cosine similarity=0.03

makeup lipstick 1900, cosine similarity=0.00
makeup lipstick 1910, cosine similarity=0.00
makeup lipstick 1920, cosine similarity=0.00
makeup lipstick 1930, cosine similarity=0.00
makeup lipstick 1940, cosine similarity=0.00
makeup lipstick 1950, cosine similarity=0.13
makeup lipstick 1960, cosine similarity=0.13
makeup lipstick 1970, cosine similarity=0.24
makeup lipstick 1980, cosine similarity=0.28
makeup lipstick 1990, cosine similarity=0.30

makeup gloss 1900, cosine similarity=0.00
makeup gloss 1910, cosine similarity=0.00
makeup gloss 1920, cosine similarity=0.00
makeup gloss 1930, cosine similarity=0.00
makeup gloss 1940, cosine similarity=0.00
makeup gloss 1950, cosine similarity=0.09
makeup gloss 1960, cosine similarity=0.16
makeup gloss 1970, cosine similarity=0.13
makeup gloss 1980, cosine similarity=0.08
makeup gloss 1990, cosine similarity=0.09

makeup inmate 1900, cosine similarity=0.00
makeup inmate 1910, cosine similarity=0.00
makeup inmate 1920, cosine similarity=0.00
makeup inmate 1930, cosine similarity=0.00
makeup inmate 1940, cosine similarity=0.00
makeup inmate 1950, cosine similarity=0.00
makeup inmate 1960, cosine similarity=0.08
makeup inmate 1970, cosine similarity=0.15
makeup inmate 1980, cosine similarity=0.08
makeup inmate 1990, cosine similarity=0.10

season winter 1900, cosine similarity=0.53
season winter 1910, cosine similarity=0.51
season winter 1920, cosine similarity=0.50
season winter 1930, cosine similarity=0.47
season winter 1940, cosine similarity=0.50
season winter 1950, cosine similarity=0.53
season winter 1960, cosine similarity=0.51
season winter 1970, cosine similarity=0.53
season winter 1980, cosine similarity=0.47
season winter 1990, cosine similarity=0.43

season christmas 1900, cosine similarity=0.25
season christmas 1910, cosine similarity=0.33
season christmas 1920, cosine similarity=0.34
season christmas 1930, cosine similarity=0.32
season christmas 1940, cosine similarity=0.28
season christmas 1950, cosine similarity=0.31
season christmas 1960, cosine similarity=0.32
season christmas 1970, cosine similarity=0.30
season christmas 1980, cosine similarity=0.31
season christmas 1990, cosine similarity=0.28

season turnips 1900, cosine similarity=0.19
season turnips 1910, cosine similarity=0.12
season turnips 1920, cosine similarity=0.12
season turnips 1930, cosine similarity=0.07
season turnips 1940, cosine similarity=0.08
season turnips 1950, cosine similarity=0.17
season turnips 1960, cosine similarity=0.10
season turnips 1970, cosine similarity=0.16
season turnips 1980, cosine similarity=0.21
season turnips 1990, cosine similarity=0.13

fruit apple 1900, cosine similarity=0.44
fruit apple 1910, cosine similarity=0.42
fruit apple 1920, cosine similarity=0.45
fruit apple 1930, cosine similarity=0.44
fruit apple 1940, cosine similarity=0.45
fruit apple 1950, cosine similarity=0.49
fruit apple 1960, cosine similarity=0.46
fruit apple 1970, cosine similarity=0.43
fruit apple 1980, cosine similarity=0.33
fruit apple 1990, cosine similarity=0.39

fruit lime 1900, cosine similarity=0.15
fruit lime 1910, cosine similarity=0.17
fruit lime 1920, cosine similarity=0.18
fruit lime 1930, cosine similarity=0.22
fruit lime 1940, cosine similarity=0.20
fruit lime 1950, cosine similarity=0.23
fruit lime 1960, cosine similarity=0.24
fruit lime 1970, cosine similarity=0.28
fruit lime 1980, cosine similarity=0.25
fruit lime 1990, cosine similarity=0.25

fruit slow 1900, cosine similarity=0.06
fruit slow 1910, cosine similarity=0.03
fruit slow 1920, cosine similarity=0.07
fruit slow 1930, cosine similarity=0.04
fruit slow 1940, cosine similarity=0.05
fruit slow 1950, cosine similarity=0.04
fruit slow 1960, cosine similarity=0.05
fruit slow 1970, cosine similarity=0.04
fruit slow 1980, cosine similarity=0.02
fruit slow 1990, cosine similarity=0.07

fabric silk 1900, cosine similarity=0.19
fabric silk 1910, cosine similarity=0.27
fabric silk 1920, cosine similarity=0.25
fabric silk 1930, cosine similarity=0.24
fabric silk 1940, cosine similarity=0.31
fabric silk 1950, cosine similarity=0.28
fabric silk 1960, cosine similarity=0.23
fabric silk 1970, cosine similarity=0.30
fabric silk 1980, cosine similarity=0.32
fabric silk 1990, cosine similarity=0.30

fabric velvet 1900, cosine similarity=0.10
fabric velvet 1910, cosine similarity=0.13
fabric velvet 1920, cosine similarity=0.10
fabric velvet 1930, cosine similarity=0.18
fabric velvet 1940, cosine similarity=0.16
fabric velvet 1950, cosine similarity=0.20
fabric velvet 1960, cosine similarity=0.16
fabric velvet 1970, cosine similarity=0.19
fabric velvet 1980, cosine similarity=0.22
fabric velvet 1990, cosine similarity=0.20

fabric organ 1900, cosine similarity=0.16
fabric organ 1910, cosine similarity=0.12
fabric organ 1920, cosine similarity=0.18
fabric organ 1930, cosine similarity=0.16
fabric organ 1940, cosine similarity=0.17
fabric organ 1950, cosine similarity=0.12
fabric organ 1960, cosine similarity=0.10
fabric organ 1970, cosine similarity=0.08
fabric organ 1980, cosine similarity=0.12
fabric organ 1990, cosine similarity=0.06

weapon knife 1900, cosine similarity=0.40
weapon knife 1910, cosine similarity=0.42
weapon knife 1920, cosine similarity=0.41
weapon knife 1930, cosine similarity=0.41
weapon knife 1940, cosine similarity=0.33
weapon knife 1950, cosine similarity=0.38
weapon knife 1960, cosine similarity=0.36
weapon knife 1970, cosine similarity=0.32
weapon knife 1980, cosine similarity=0.38
weapon knife 1990, cosine similarity=0.35

weapon spear 1900, cosine similarity=0.48
weapon spear 1910, cosine similarity=0.43
weapon spear 1920, cosine similarity=0.44
weapon spear 1930, cosine similarity=0.44
weapon spear 1940, cosine similarity=0.38
weapon spear 1950, cosine similarity=0.37
weapon spear 1960, cosine similarity=0.34
weapon spear 1970, cosine similarity=0.30
weapon spear 1980, cosine similarity=0.33
weapon spear 1990, cosine similarity=0.30

weapon cliff 1900, cosine similarity=0.03
weapon cliff 1910, cosine similarity=0.01
weapon cliff 1920, cosine similarity=0.03
weapon cliff 1930, cosine similarity=0.01
weapon cliff 1940, cosine similarity=-0.01
