dad mom 1930, cosine similarity=0.00
ditch drain 1970, cosine similarity=0.17
ditch drain 1980, cosine similarity=0.14

ditch gully 1930, cosine similarity=0.30
ditch gully 1940, cosine similarity=0.22
ditch gully 1950, cosine similarity=0.24
ditch gully 1960, cosine similarity=0.36
ditch gully 1970, cosine similarity=0.24
ditch gully 1980, cosine similarity=0.21

ditch pit 1930, cosine similarity=0.35
ditch pit 1940, cosine similarity=0.31
ditch pit 1950, cosine similarity=0.32
ditch pit 1960, cosine similarity=0.35
ditch pit 1970, cosine similarity=0.33
ditch pit 1980, cosine similarity=0.31

ditch weed 1930, cosine similarity=0.17
ditch weed 1940, cosine similarity=0.19
ditch weed 1950, cosine similarity=0.16
ditch weed 1960, cosine similarity=0.18
ditch weed 1970, cosine similarity=0.12
ditch weed 1980, cosine similarity=0.09

dive water 1930, cosine similarity=0.21
dive water 1940, cosine similarity=0.18
dive water 1950, cosine similarity=0.23
dive water 1960, cosine similarity=0.22
dive water 1970, cosine similarity=0.26
dive water 1980, cosine similarity=0.30

dive pool 1930, cosine similarity=0.24
dive pool 1940, cosine similarity=0.31
dive pool 1950, cosine similarity=0.24
dive pool 1960, cosine similarity=0.27
dive pool 1970, cosine similarity=0.20
dive pool 1980, cosine similarity=0.29

dive swim 1930, cosine similarity=0.45
dive swim 1940, cosine similarity=0.36
dive swim 1950, cosine similarity=0.38
dive swim 1960, cosine similarity=0.36
dive swim 1970, cosine similarity=0.35
dive swim 1980, cosine similarity=0.44

dive jump 1930, cosine similarity=0.27
dive jump 1940, cosine similarity=0.33
dive jump 1950, cosine similarity=0.38
dive jump 1960, cosine similarity=0.27
dive jump 1970, cosine similarity=0.27
dive jump 1980, cosine similarity=0.30

dive board 1930, cosine similarity=-0.02
dive board 1940, cosine similarity=0.05
dive board 1950, cosine similarity=0.02
dive board 1960, cosine similarity=-0.04
dive board 1970, cosine similarity=-0.04
dive board 1980, cosine similarity=0.12

dive scuba 1930, cosine similarity=0.00
dive scuba 1940, cosine similarity=0.00
dive scuba 1950, cosine similarity=0.00
dive scuba 1960, cosine similarity=0.00
dive scuba 1970, cosine similarity=0.33
dive scuba 1980, cosine similarity=0.22

dive fall 1930, cosine similarity=0.11
dive fall 1940, cosine similarity=0.11
dive fall 1950, cosine similarity=0.10
dive fall 1960, cosine similarity=0.15
dive fall 1970, cosine similarity=0.11
dive fall 1980, cosine similarity=0.07

dive high 1930, cosine similarity=-0.08
dive high 1940, cosine similarity=0.11
dive high 1950, cosine similarity=0.09
dive high 1960, cosine similarity=0.08
dive high 1970, cosine similarity=0.02
dive high 1980, cosine similarity=0.01

dive deep 1930, cosine similarity=0.24
dive deep 1940, cosine similarity=0.24
dive deep 1950, cosine similarity=0.28
dive deep 1960, cosine similarity=0.30
dive deep 1970, cosine similarity=0.26
dive deep 1980, cosine similarity=0.28

dive ocean 1930, cosine similarity=0.26
dive ocean 1940, cosine similarity=0.24
dive ocean 1950, cosine similarity=0.29
dive ocean 1960, cosine similarity=0.25
dive ocean 1970, cosine similarity=0.27
dive ocean 1980, cosine similarity=0.28

dive plunge 1930, cosine similarity=0.41
dive plunge 1940, cosine similarity=0.33
dive plunge 1950, cosine similarity=0.39
dive plunge 1960, cosine similarity=0.37
dive plunge 1970, cosine similarity=0.32
dive plunge 1980, cosine similarity=0.36

dive bomber 1930, cosine similarity=0.00
dive bomber 1940, cosine similarity=0.40
dive bomber 1950, cosine similarity=0.35
dive bomber 1960, cosine similarity=0.28
dive bomber 1970, cosine similarity=0.35
dive bomber 1980, cosine similarity=0.36

dive down 1930, cosine similarity=0.25
dive down 1940, cosine similarity=0.32
dive down 1950, cosine similarity=0.27
dive down 1960, cosine similarity=0.29
dive down 1970, cosine similarity=0.24
dive down 1980, cosine similarity=0.29

dive tank 1930, cosine similarity=0.13
dive tank 1940, cosine similarity=0.28
dive tank 1950, cosine similarity=0.29
dive tank 1960, cosine similarity=0.21
dive tank 1970, cosine similarity=0.33
dive tank 1980, cosine similarity=0.22

diver water 1930, cosine similarity=0.11
diver water 1940, cosine similarity=0.13
diver water 1950, cosine similarity=0.07
diver water 1960, cosine similarity=0.14
diver water 1970, cosine similarity=0.16
diver water 1980, cosine similarity=0.17

diver scuba 1930, cosine similarity=0.00
diver scuba 1940, cosine similarity=0.00
diver scuba 1950, cosine similarity=0.00
diver scuba 1960, cosine similarity=0.00
diver scuba 1970, cosine similarity=0.22
diver scuba 1980, cosine similarity=0.34

diver ocean 1930, cosine similarity=0.27
diver ocean 1940, cosine similarity=0.21
diver ocean 1950, cosine similarity=0.17
diver ocean 1960, cosine similarity=0.29
diver ocean 1970, cosine similarity=0.16
diver ocean 1980, cosine similarity=0.13

diver swimmer 1930, cosine similarity=0.33
diver swimmer 1940, cosine similarity=0.28
diver swimmer 1950, cosine similarity=0.30
diver swimmer 1960, cosine similarity=0.22
diver swimmer 1970, cosine similarity=0.28
diver swimmer 1980, cosine similarity=0.24

diver down 1930, cosine similarity=0.12
diver down 1940, cosine similarity=0.09
diver down 1950, cosine similarity=0.16
diver down 1960, cosine similarity=0.16
diver down 1970, cosine similarity=0.16
diver down 1980, cosine similarity=0.09

diver pool 1930, cosine similarity=0.09
diver pool 1940, cosine similarity=0.20
diver pool 1950, cosine similarity=0.01
diver pool 1960, cosine similarity=0.13
diver pool 1970, cosine similarity=0.05
diver pool 1980, cosine similarity=0.14

diver sea 1930, cosine similarity=0.24
diver sea 1940, cosine similarity=0.30
diver sea 1950, cosine similarity=0.18
diver sea 1960, cosine similarity=0.27
diver sea 1970, cosine similarity=0.16
diver sea 1980, cosine similarity=0.24

diver swim 1930, cosine similarity=0.18
diver swim 1940, cosine similarity=0.13
diver swim 1950, cosine similarity=0.16
diver swim 1960, cosine similarity=0.19
diver swim 1970, cosine similarity=0.12
diver swim 1980, cosine similarity=0.23

diver skin 1930, cosine similarity=0.09
diver skin 1940, cosine similarity=0.14
diver skin 1950, cosine similarity=0.10
diver skin 1960, cosine similarity=0.18
diver skin 1970, cosine similarity=0.15
diver skin 1980, cosine similarity=0.15

diver fish 1930, cosine similarity=0.10
diver fish 1940, cosine similarity=0.15
diver fish 1950, cosine similarity=0.05
diver fish 1960, cosine similarity=0.11
diver fish 1970, cosine similarity=0.09
diver fish 1980, cosine similarity=0.16

diver bikini 1930, cosine similarity=0.00
diver bikini 1940, cosine similarity=0.00
diver bikini 1950, cosine similarity=0.00
diver bikini 1960, cosine similarity=0.24
diver bikini 1970, cosine similarity=0.16
diver bikini 1980, cosine similarity=0.24

divide multiply 1930, cosine similarity=0.40
divide multiply 1940, cosine similarity=0.45
divide multiply 1950, cosine similarity=0.49
divide multiply 1960, cosine similarity=0.45
divide multiply 1970, cosine similarity=0.41
divide multiply 1980, cosine similarity=0.45

divide split 1930, cosine similarity=0.33
divide split 1940, cosine similarity=0.37
divide split 1950, cosine similarity=0.38
divide split 1960, cosine similarity=0.38
divide split 1970, cosine similarity=0.40
divide split 1980, cosine similarity=0.41

divide separate 1930, cosine similarity=0.24
divide separate 1940, cosine similarity=0.23
divide separate 1950, cosine similarity=0.30
divide separate 1960, cosine similarity=0.32
divide separate 1970, cosine similarity=0.27
divide separate 1980, cosine similarity=0.26

divide half 1930, cosine similarity=0.04
divide half 1940, cosine similarity=0.06
divide half 1950, cosine similarity=0.11
divide half 1960, cosine similarity=0.10
divide half 1970, cosine similarity=0.16
divide half 1980, cosine similarity=0.18

divide cut 1930, cosine similarity=0.18
divide cut 1940, cosine similarity=0.16
divide cut 1950, cosine similarity=0.21
divide cut 1960, cosine similarity=0.24
divide cut 1970, cosine similarity=0.24
divide cut 1980, cosine similarity=0.21

divide add 1930, cosine similarity=0.20
divide add 1940, cosine similarity=0.21
divide add 1950, cosine similarity=0.24
divide add 1960, cosine similarity=0.24
divide add 1970, cosine similarity=0.24
divide add 1980, cosine similarity=0.25

divide conquer 1930, cosine similarity=0.26
divide conquer 1940, cosine similarity=0.26
divide conquer 1950, cosine similarity=0.34
divide conquer 1960, cosine similarity=0.31
divide conquer 1970, cosine similarity=0.36
divide conquer 1980, cosine similarity=0.37

divide math 1930, cosine similarity=0.00
divide math 1940, cosine similarity=-0.05
divide math 1950, cosine similarity=-0.04
divide math 1960, cosine similarity=0.02
divide math 1970, cosine similarity=0.04
divide math 1980, cosine similarity=0.02

divide share 1930, cosine similarity=0.16
divide share 1940, cosine similarity=0.12
divide share 1950, cosine similarity=0.12
divide share 1960, cosine similarity=0.07
divide share 1970, cosine similarity=0.13
divide share 1980, cosine similarity=0.16

divide subtract 1930, cosine similarity=0.37
divide subtract 1940, cosine similarity=0.37
divide subtract 1950, cosine similarity=0.44
divide subtract 1960, cosine similarity=0.39
divide subtract 1970, cosine similarity=0.35
divide subtract 1980, cosine similarity=0.41

divide two 1930, cosine similarity=0.24
divide two 1940, cosine similarity=0.22
divide two 1950, cosine similarity=0.18
divide two 1960, cosine similarity=0.28
divide two 1970, cosine similarity=0.25
divide two 1980, cosine similarity=0.24

divide continental 1930, cosine similarity=0.22
divide continental 1940, cosine similarity=0.21
divide continental 1950, cosine similarity=0.21
divide continental 1960, cosine similarity=0.19
divide continental 1970, cosine similarity=0.18
divide continental 1980, cosine similarity=0.15

divide even 1930, cosine similarity=-0.04
divide even 1940, cosine similarity=-0.02
divide even 1950, cosine similarity=-0.04
divide even 1960, cosine similarity=0.01
divide even 1970, cosine similarity=0.04
divide even 1980, cosine similarity=-0.01

divide numbers 1930, cosine similarity=0.13
divide numbers 1940, cosine similarity=0.17
divide numbers 1950, cosine similarity=0.20
divide numbers 1960, cosine similarity=0.15
divide numbers 1970, cosine similarity=0.12
divide numbers 1980, cosine similarity=0.17

divide ratio 1930, cosine similarity=0.20
divide ratio 1940, cosine similarity=0.14
divide ratio 1950, cosine similarity=0.18
divide ratio 1960, cosine similarity=0.13
divide ratio 1970, cosine similarity=0.12
divide ratio 1980, cosine similarity=0.13

diving water 1930, cosine similarity=0.28
diving water 1940, cosine similarity=0.28
diving water 1950, cosine similarity=0.25
diving water 1960, cosine similarity=0.26
diving water 1970, cosine similarity=0.26
diving water 1980, cosine similarity=0.30

diving swimming 1930, cosine similarity=0.41
diving swimming 1940, cosine similarity=0.42
diving swimming 1950, cosine similarity=0.40
diving swimming 1960, cosine similarity=0.38
diving swimming 1970, cosine similarity=0.39
diving swimming 1980, cosine similarity=0.49

diving board 1930, cosine similarity=0.01
diving board 1940, cosine similarity=0.11
diving board 1950, cosine similarity=0.04
diving board 1960, cosine similarity=0.13
diving board 1970, cosine similarity=0.13
diving board 1980, cosine similarity=0.20

diving pool 1930, cosine similarity=0.32
diving pool 1940, cosine similarity=0.33
diving pool 1950, cosine similarity=0.28
diving pool 1960, cosine similarity=0.24
diving pool 1970, cosine similarity=0.29
diving pool 1980, cosine similarity=0.28

diving swim 1930, cosine similarity=0.33
diving swim 1940, cosine similarity=0.29
diving swim 1950, cosine similarity=0.25
diving swim 1960, cosine similarity=0.25
diving swim 1970, cosine similarity=0.31
diving swim 1980, cosine similarity=0.35

diving jump 1930, cosine similarity=0.20
diving jump 1940, cosine similarity=0.24
diving jump 1950, cosine similarity=0.22
diving jump 1960, cosine similarity=0.17
diving jump 1970, cosine similarity=0.21
diving jump 1980, cosine similarity=0.17

diving scuba 1930, cosine similarity=0.00
diving scuba 1940, cosine similarity=0.00
diving scuba 1950, cosine similarity=0.00
diving scuba 1960, cosine similarity=0.00
diving scuba 1970, cosine similarity=0.75
diving scuba 1980, cosine similarity=0.61

diving sea 1930, cosine similarity=0.26
diving sea 1940, cosine similarity=0.33
diving sea 1950, cosine similarity=0.27
diving sea 1960, cosine similarity=0.28
diving sea 1970, cosine similarity=0.27
diving sea 1980, cosine similarity=0.29

diving tank 1930, cosine similarity=0.11
diving tank 1940, cosine similarity=0.20
diving tank 1950, cosine similarity=0.17
diving tank 1960, cosine similarity=0.16
diving tank 1970, cosine similarity=0.24
diving tank 1980, cosine similarity=0.22

diving gear 1930, cosine similarity=0.14
diving gear 1940, cosine similarity=0.20
diving gear 1950, cosine similarity=0.20
diving gear 1960, cosine similarity=0.14
diving gear 1970, cosine similarity=0.23
diving gear 1980, cosine similarity=0.19

diving in 1930, cosine similarity=0.07
diving in 1940, cosine similarity=0.02
diving in 1950, cosine similarity=-0.05
diving in 1960, cosine similarity=-0.04
diving in 1970, cosine similarity=-0.02
diving in 1980, cosine similarity=0.01

diving splash 1930, cosine similarity=0.28
diving splash 1940, cosine similarity=0.34
diving splash 1950, cosine similarity=0.19
diving splash 1960, cosine similarity=0.23
diving splash 1970, cosine similarity=0.19
diving splash 1980, cosine similarity=0.18

diving sports 1930, cosine similarity=0.16
diving sports 1940, cosine similarity=0.21
diving sports 1950, cosine similarity=0.22
diving sports 1960, cosine similarity=0.22
diving sports 1970, cosine similarity=0.25
diving sports 1980, cosine similarity=0.27

division math 1930, cosine similarity=0.00
division math 1940, cosine similarity=0.02
division math 1950, cosine similarity=0.04
division math 1960, cosine similarity=0.08
division math 1970, cosine similarity=0.01
division math 1980, cosine similarity=0.02

division multiplication 1930, cosine similarity=0.35
division multiplication 1940, cosine similarity=0.26
division multiplication 1950, cosine similarity=0.34
division multiplication 1960, cosine similarity=0.30
division multiplication 1970, cosine similarity=0.32
division multiplication 1980, cosine similarity=0.31

division separate 1930, cosine similarity=0.13
division separate 1940, cosine similarity=0.17
division separate 1950, cosine similarity=0.15
division separate 1960, cosine similarity=0.16
division separate 1970, cosine similarity=0.12
division separate 1980, cosine similarity=0.15

division multiply 1930, cosine similarity=0.10
division multiply 1940, cosine similarity=0.05
division multiply 1950, cosine similarity=0.07
division multiply 1960, cosine similarity=0.08
division multiply 1970, cosine similarity=0.02
division multiply 1980, cosine similarity=0.04

division divide 1930, cosine similarity=0.28
division divide 1940, cosine similarity=0.22
division divide 1950, cosine similarity=0.22
division divide 1960, cosine similarity=0.19
division divide 1970, cosine similarity=0.19
division divide 1980, cosine similarity=0.17

division addition 1930, cosine similarity=0.14
division addition 1940, cosine similarity=0.11
division addition 1950, cosine similarity=0.05
division addition 1960, cosine similarity=0.10
division addition 1970, cosine similarity=0.10
division addition 1980, cosine similarity=0.10

division department 1930, cosine similarity=0.37
division department 1940, cosine similarity=0.41
division department 1950, cosine similarity=0.40
division department 1960, cosine similarity=0.41
division department 1970, cosine similarity=0.39
division department 1980, cosine similarity=0.39

division group 1930, cosine similarity=0.12
division group 1940, cosine similarity=0.07
division group 1950, cosine similarity=0.10
division group 1960, cosine similarity=0.07
division group 1970, cosine similarity=0.00
division group 1980, cosine similarity=0.16

division half 1930, cosine similarity=0.02
division half 1940, cosine similarity=-0.01
division half 1950, cosine similarity=0.03
division half 1960, cosine similarity=0.02
division half 1970, cosine similarity=-0.01
division half 1980, cosine similarity=-0.03

division section 1930, cosine similarity=0.12
division section 1940, cosine similarity=0.19
division section 1950, cosine similarity=0.12
division section 1960, cosine similarity=0.07
division section 1970, cosine similarity=0.08
division section 1980, cosine similarity=0.05

division split 1930, cosine similarity=0.19
division split 1940, cosine similarity=0.17
division split 1950, cosine similarity=0.11
division split 1960, cosine similarity=0.16
division split 1970, cosine similarity=0.10
division split 1980, cosine similarity=0.10

division unit 1930, cosine similarity=0.19
division unit 1940, cosine similarity=0.18
division unit 1950, cosine similarity=0.17
division unit 1960, cosine similarity=0.13
division unit 1970, cosine similarity=0.17
division unit 1980, cosine similarity=0.22

division apart 1930, cosine similarity=-0.06
division apart 1940, cosine similarity=-0.04
division apart 1950, cosine similarity=-0.01
division apart 1960, cosine similarity=0.02
division apart 1970, cosine similarity=-0.05
division apart 1980, cosine similarity=0.01

division bell 1930, cosine similarity=0.00
division bell 1940, cosine similarity=-0.00
division bell 1950, cosine similarity=0.01
division bell 1960, cosine similarity=-0.01
division bell 1970, cosine similarity=0.14
division bell 1980, cosine similarity=0.05

division border 1930, cosine similarity=0.08
division border 1940, cosine similarity=0.13
division border 1950, cosine similarity=0.14
division border 1960, cosine similarity=0.11
division border 1970, cosine similarity=0.13
division border 1980, cosine similarity=0.09

division class 1930, cosine similarity=0.13
division class 1940, cosine similarity=0.10
division class 1950, cosine similarity=0.12
division class 1960, cosine similarity=0.16
division class 1970, cosine similarity=0.11
division class 1980, cosine similarity=0.11

division subtraction 1930, cosine similarity=0.33
division subtraction 1940, cosine similarity=0.25
division subtraction 1950, cosine similarity=0.30
division subtraction 1960, cosine similarity=0.30
division subtraction 1970, cosine similarity=0.26
division subtraction 1980, cosine similarity=0.29

divorce marriage 1930, cosine similarity=0.53
divorce marriage 1940, cosine similarity=0.50
divorce marriage 1950, cosine similarity=0.46
divorce marriage 1960, cosine similarity=0.53
divorce marriage 1970, cosine similarity=0.53
divorce marriage 1980, cosine similarity=0.50

divorce separate 1930, cosine similarity=0.09
divorce separate 1940, cosine similarity=0.18
divorce separate 1950, cosine similarity=0.23
divorce separate 1960, cosine similarity=0.21
divorce separate 1970, cosine similarity=0.15
divorce separate 1980, cosine similarity=0.13

divorce split 1930, cosine similarity=-0.00
divorce split 1940, cosine similarity=0.09
divorce split 1950, cosine similarity=0.02
divorce split 1960, cosine similarity=0.02
divorce split 1970, cosine similarity=0.03
divorce split 1980, cosine similarity=0.05

divorce parents 1930, cosine similarity=0.20
divorce parents 1940, cosine similarity=0.24
divorce parents 1950, cosine similarity=0.25
divorce parents 1960, cosine similarity=0.30
divorce parents 1970, cosine similarity=0.33
divorce parents 1980, cosine similarity=0.29

divorce break-up 1930, cosine similarity=0.00
divorce break-up 1940, cosine similarity=0.00
divorce break-up 1950, cosine similarity=0.00
divorce break-up 1960, cosine similarity=0.00
divorce break-up 1970, cosine similarity=0.00
divorce break-up 1980, cosine similarity=0.00

divorce court 1930, cosine similarity=0.25
divorce court 1940, cosine similarity=0.19
divorce court 1950, cosine similarity=0.21
divorce court 1960, cosine similarity=0.18
divorce court 1970, cosine similarity=0.21
divorce court 1980, cosine similarity=0.17

divorce ex-wife 1930, cosine similarity=0.00
divorce ex-wife 1940, cosine similarity=0.00
divorce ex-wife 1950, cosine similarity=0.00
divorce ex-wife 1960, cosine similarity=0.00
divorce ex-wife 1970, cosine similarity=0.00
divorce ex-wife 1980, cosine similarity=0.00

divorce hate 1930, cosine similarity=0.09
divorce hate 1940, cosine similarity=0.04
divorce hate 1950, cosine similarity=0.08
divorce hate 1960, cosine similarity=0.13
divorce hate 1970, cosine similarity=0.07
divorce hate 1980, cosine similarity=0.15

divorce lawyer 1930, cosine similarity=0.05
divorce lawyer 1940, cosine similarity=0.06
divorce lawyer 1950, cosine similarity=0.06
divorce lawyer 1960, cosine similarity=0.08
divorce lawyer 1970, cosine similarity=0.13
divorce lawyer 1980, cosine similarity=0.08

divorce pain 1930, cosine similarity=0.06
divorce pain 1940, cosine similarity=0.08
divorce pain 1950, cosine similarity=-0.02
divorce pain 1960, cosine similarity=0.06
divorce pain 1970, cosine similarity=0.06
divorce pain 1980, cosine similarity=0.07

divorce single 1930, cosine similarity=0.01
divorce single 1940, cosine similarity=0.00
divorce single 1950, cosine similarity=0.05
divorce single 1960, cosine similarity=0.08
divorce single 1970, cosine similarity=0.01
divorce single 1980, cosine similarity=0.03

dizzy faint 1930, cosine similarity=0.25
dizzy faint 1940, cosine similarity=0.30
dizzy faint 1950, cosine similarity=0.27
dizzy faint 1960, cosine similarity=0.37
dizzy faint 1970, cosine similarity=0.33
dizzy faint 1980, cosine similarity=0.33

dizzy blonde 1930, cosine similarity=0.01
dizzy blonde 1940, cosine similarity=0.21
dizzy blonde 1950, cosine similarity=0.21
dizzy blonde 1960, cosine similarity=0.20
dizzy blonde 1970, cosine similarity=0.26
dizzy blonde 1980, cosine similarity=0.20

dizzy sick 1930, cosine similarity=0.24
dizzy sick 1940, cosine similarity=0.26
dizzy sick 1950, cosine similarity=0.21
dizzy sick 1960, cosine similarity=0.23
dizzy sick 1970, cosine similarity=0.26
dizzy sick 1980, cosine similarity=0.26

dizzy spell 1930, cosine similarity=0.11
dizzy spell 1940, cosine similarity=0.23
dizzy spell 1950, cosine similarity=0.15
dizzy spell 1960, cosine similarity=0.12
dizzy spell 1970, cosine similarity=0.19
dizzy spell 1980, cosine similarity=0.17

dizzy spin 1930, cosine similarity=-0.00
dizzy spin 1940, cosine similarity=0.08
dizzy spin 1950, cosine similarity=0.13
dizzy spin 1960, cosine similarity=-0.05
dizzy spin 1970, cosine similarity=0.12
dizzy spin 1980, cosine similarity=0.16

dizzy fall 1930, cosine similarity=0.08
dizzy fall 1940, cosine similarity=0.05
dizzy fall 1950, cosine similarity=0.06
dizzy fall 1960, cosine similarity=0.08
dizzy fall 1970, cosine similarity=0.03
dizzy fall 1980, cosine similarity=0.09

dizzy head 1930, cosine similarity=0.17
dizzy head 1940, cosine similarity=0.20
dizzy head 1950, cosine similarity=0.12
dizzy head 1960, cosine similarity=0.13
dizzy head 1970, cosine similarity=0.21
dizzy head 1980, cosine similarity=0.17

dizzy headache 1930, cosine similarity=0.22
dizzy headache 1940, cosine similarity=0.25
dizzy headache 1950, cosine similarity=0.14
dizzy headache 1960, cosine similarity=0.16
dizzy headache 1970, cosine similarity=0.17
dizzy headache 1980, cosine similarity=0.23

dizzy girl 1930, cosine similarity=0.05
dizzy girl 1940, cosine similarity=0.08
dizzy girl 1950, cosine similarity=0.10
dizzy girl 1960, cosine similarity=0.14
dizzy girl 1970, cosine similarity=0.15
dizzy girl 1980, cosine similarity=0.21

dizzy dumb 1930, cosine similarity=0.12
dizzy dumb 1940, cosine similarity=0.22
dizzy dumb 1950, cosine similarity=0.10
dizzy dumb 1960, cosine similarity=0.14
dizzy dumb 1970, cosine similarity=0.25
dizzy dumb 1980, cosine similarity=0.26

dizzy nausea 1930, cosine similarity=0.23
dizzy nausea 1940, cosine similarity=0.21
dizzy nausea 1950, cosine similarity=0.14
dizzy nausea 1960, cosine similarity=0.12
dizzy nausea 1970, cosine similarity=0.16
dizzy nausea 1980, cosine similarity=0.19

dizzy airhead 1930, cosine similarity=0.00
dizzy airhead 1940, cosine similarity=0.00
dizzy airhead 1950, cosine similarity=0.00
dizzy airhead 1960, cosine similarity=0.00
dizzy airhead 1970, cosine similarity=0.00
dizzy airhead 1980, cosine similarity=0.00

dizzy confuse 1930, cosine similarity=-0.08
dizzy confuse 1940, cosine similarity=0.06
dizzy confuse 1950, cosine similarity=0.03
dizzy confuse 1960, cosine similarity=0.05
dizzy confuse 1970, cosine similarity=0.00
dizzy confuse 1980, cosine similarity=0.03

dizzy crazy 1930, cosine similarity=0.15
dizzy crazy 1940, cosine similarity=0.22
dizzy crazy 1950, cosine similarity=0.24
dizzy crazy 1960, cosine similarity=0.15
dizzy crazy 1970, cosine similarity=0.16
dizzy crazy 1980, cosine similarity=0.32

dizzy drug 1930, cosine similarity=-0.04
dizzy drug 1940, cosine similarity=-0.02
dizzy drug 1950, cosine similarity=-0.03
dizzy drug 1960, cosine similarity=-0.04
dizzy drug 1970, cosine similarity=-0.09
dizzy drug 1980, cosine similarity=-0.13

dizzy drunk 1930, cosine similarity=0.13
dizzy drunk 1940, cosine similarity=0.20
dizzy drunk 1950, cosine similarity=0.17
dizzy drunk 1960, cosine similarity=0.25
dizzy drunk 1970, cosine similarity=0.24
dizzy drunk 1980, cosine similarity=0.24

dizzy queazy 1930, cosine similarity=0.00
dizzy queazy 1940, cosine similarity=0.00
dizzy queazy 1950, cosine similarity=0.00
dizzy queazy 1960, cosine similarity=0.00
dizzy queazy 1970, cosine similarity=0.00
dizzy queazy 1980, cosine similarity=0.00

do don't 1930, cosine similarity=0.00
do don't 1940, cosine similarity=0.00
do don't 1950, cosine similarity=0.00
do don't 1960, cosine similarity=0.00
do don't 1970, cosine similarity=0.00
do don't 1980, cosine similarity=0.00

do accomplish 1930, cosine similarity=0.32
do accomplish 1940, cosine similarity=0.31
do accomplish 1950, cosine similarity=0.24
do accomplish 1960, cosine similarity=0.28
do accomplish 1970, cosine similarity=0.27
do accomplish 1980, cosine similarity=0.35

do work 1930, cosine similarity=0.19
do work 1940, cosine similarity=0.17
do work 1950, cosine similarity=0.14
do work 1960, cosine similarity=0.18
do work 1970, cosine similarity=0.21
do work 1980, cosine similarity=0.19

do go 1930, cosine similarity=0.42
do go 1940, cosine similarity=0.34
do go 1950, cosine similarity=0.40
do go 1960, cosine similarity=0.43
do go 1970, cosine similarity=0.42
do go 1980, cosine similarity=0.42

do done 1930, cosine similarity=0.38
do done 1940, cosine similarity=0.26
do done 1950, cosine similarity=0.34
do done 1960, cosine similarity=0.42
do done 1970, cosine similarity=0.35
do done 1980, cosine similarity=0.43

do it 1930, cosine similarity=0.24
do it 1940, cosine similarity=0.28
do it 1950, cosine similarity=0.29
do it 1960, cosine similarity=0.39
do it 1970, cosine similarity=0.25
do it 1980, cosine similarity=0.30

do stop 1930, cosine similarity=0.33
do stop 1940, cosine similarity=0.26
do stop 1950, cosine similarity=0.29
do stop 1960, cosine similarity=0.32
do stop 1970, cosine similarity=0.35
do stop 1980, cosine similarity=0.31

do act 1930, cosine similarity=0.08
do act 1940, cosine similarity=0.09
do act 1950, cosine similarity=0.03
do act 1960, cosine similarity=0.07
do act 1970, cosine similarity=0.08
do act 1980, cosine similarity=0.06

do action 1930, cosine similarity=0.06
do action 1940, cosine similarity=-0.09
do action 1950, cosine similarity=-0.05
do action 1960, cosine similarity=0.02
do action 1970, cosine similarity=0.02
do action 1980, cosine similarity=0.07

do active 1930, cosine similarity=-0.02
do active 1940, cosine similarity=-0.02
do active 1950, cosine similarity=-0.08
do active 1960, cosine similarity=-0.08
do active 1970, cosine similarity=-0.07
do active 1980, cosine similarity=-0.02

do make 1930, cosine similarity=0.25
do make 1940, cosine similarity=0.29
do make 1950, cosine similarity=0.24
do make 1960, cosine similarity=0.37
do make 1970, cosine similarity=0.29
do make 1980, cosine similarity=0.40

do perform 1930, cosine similarity=0.28
do perform 1940, cosine similarity=0.33
do perform 1950, cosine similarity=0.20
do perform 1960, cosine similarity=0.25
do perform 1970, cosine similarity=0.25
do perform 1980, cosine similarity=0.25

do achieve 1930, cosine similarity=0.23
do achieve 1940, cosine similarity=0.22
do achieve 1950, cosine similarity=0.19
do achieve 1960, cosine similarity=0.17
do achieve 1970, cosine similarity=0.15
do achieve 1980, cosine similarity=0.24

do be 1930, cosine similarity=0.05
do be 1940, cosine similarity=0.11
do be 1950, cosine similarity=0.07
do be 1960, cosine similarity=0.16
do be 1970, cosine similarity=0.20
do be 1980, cosine similarity=0.22

do create 1930, cosine similarity=0.22
do create 1940, cosine similarity=0.19
do create 1950, cosine similarity=0.16
do create 1960, cosine similarity=0.16
do create 1970, cosine similarity=0.16
do create 1980, cosine similarity=0.21

do did 1930, cosine similarity=0.58
do did 1940, cosine similarity=0.57
do did 1950, cosine similarity=0.66
do did 1960, cosine similarity=0.62
do did 1970, cosine similarity=0.65
do did 1980, cosine similarity=0.65

do finish 1930, cosine similarity=0.20
do finish 1940, cosine similarity=0.23
do finish 1950, cosine similarity=0.20
do finish 1960, cosine similarity=0.19
do finish 1970, cosine similarity=0.24
do finish 1980, cosine similarity=0.27

do good 1930, cosine similarity=0.24
do good 1940, cosine similarity=0.20
do good 1950, cosine similarity=0.30
do good 1960, cosine similarity=0.27
do good 1970, cosine similarity=0.27
do good 1980, cosine similarity=0.31

do participate 1930, cosine similarity=0.16
do participate 1940, cosine similarity=0.16
do participate 1950, cosine similarity=0.16
do participate 1960, cosine similarity=0.17
do participate 1970, cosine similarity=0.24
do participate 1980, cosine similarity=0.20

do task 1930, cosine similarity=0.10
