a b 1930, cosine similarity=0.16
appear hide 1960, cosine similarity=0.12
appear hide 1970, cosine similarity=0.06
appear hide 1980, cosine similarity=0.14

appear leave 1930, cosine similarity=0.07
appear leave 1940, cosine similarity=0.10
appear leave 1950, cosine similarity=0.03
appear leave 1960, cosine similarity=0.07
appear leave 1970, cosine similarity=0.05
appear leave 1980, cosine similarity=0.07

appear stage 1930, cosine similarity=0.09
appear stage 1940, cosine similarity=0.15
appear stage 1950, cosine similarity=0.17
appear stage 1960, cosine similarity=0.16
appear stage 1970, cosine similarity=0.22
appear stage 1980, cosine similarity=0.13

appearance looks 1930, cosine similarity=0.26
appearance looks 1940, cosine similarity=0.22
appearance looks 1950, cosine similarity=0.12
appearance looks 1960, cosine similarity=0.19
appearance looks 1970, cosine similarity=0.22
appearance looks 1980, cosine similarity=0.26

appearance clothes 1930, cosine similarity=0.16
appearance clothes 1940, cosine similarity=0.14
appearance clothes 1950, cosine similarity=0.15
appearance clothes 1960, cosine similarity=0.16
appearance clothes 1970, cosine similarity=0.17
appearance clothes 1980, cosine similarity=0.17

appearance pretty 1930, cosine similarity=0.12
appearance pretty 1940, cosine similarity=0.17
appearance pretty 1950, cosine similarity=0.12
appearance pretty 1960, cosine similarity=0.19
appearance pretty 1970, cosine similarity=0.17
appearance pretty 1980, cosine similarity=0.20

appearance face 1930, cosine similarity=0.11
appearance face 1940, cosine similarity=0.09
appearance face 1950, cosine similarity=0.12
appearance face 1960, cosine similarity=0.20
appearance face 1970, cosine similarity=0.10
appearance face 1980, cosine similarity=0.13

appearance good 1930, cosine similarity=0.08
appearance good 1940, cosine similarity=0.11
appearance good 1950, cosine similarity=0.09
appearance good 1960, cosine similarity=0.10
appearance good 1970, cosine similarity=0.09
appearance good 1980, cosine similarity=0.14

appearance nice 1930, cosine similarity=0.04
appearance nice 1940, cosine similarity=0.08
appearance nice 1950, cosine similarity=0.03
appearance nice 1960, cosine similarity=0.07
appearance nice 1970, cosine similarity=0.09
appearance nice 1980, cosine similarity=0.09

appearance beautiful 1930, cosine similarity=0.13
appearance beautiful 1940, cosine similarity=0.13
appearance beautiful 1950, cosine similarity=0.18
appearance beautiful 1960, cosine similarity=0.19
appearance beautiful 1970, cosine similarity=0.21
appearance beautiful 1980, cosine similarity=0.18

appearance hair 1930, cosine similarity=0.16
appearance hair 1940, cosine similarity=0.13
appearance hair 1950, cosine similarity=0.19
appearance hair 1960, cosine similarity=0.23
appearance hair 1970, cosine similarity=0.26
appearance hair 1980, cosine similarity=0.13

appearance clean 1930, cosine similarity=0.15
appearance clean 1940, cosine similarity=0.16
appearance clean 1950, cosine similarity=0.15
appearance clean 1960, cosine similarity=0.16
appearance clean 1970, cosine similarity=0.14
appearance clean 1980, cosine similarity=0.13

appearance dress 1930, cosine similarity=0.31
appearance dress 1940, cosine similarity=0.28
appearance dress 1950, cosine similarity=0.29
appearance dress 1960, cosine similarity=0.30
appearance dress 1970, cosine similarity=0.30
appearance dress 1980, cosine similarity=0.28

appearance important 1930, cosine similarity=0.06
appearance important 1940, cosine similarity=0.08
appearance important 1950, cosine similarity=0.03
appearance important 1960, cosine similarity=0.06
appearance important 1970, cosine similarity=0.06
appearance important 1980, cosine similarity=0.02

appearance mirror 1930, cosine similarity=0.08
appearance mirror 1940, cosine similarity=0.03
appearance mirror 1950, cosine similarity=0.11
appearance mirror 1960, cosine similarity=0.07
appearance mirror 1970, cosine similarity=0.18
appearance mirror 1980, cosine similarity=0.10

appearance show 1930, cosine similarity=0.12
appearance show 1940, cosine similarity=0.15
appearance show 1950, cosine similarity=0.22
appearance show 1960, cosine similarity=0.19
appearance show 1970, cosine similarity=0.24
appearance show 1980, cosine similarity=0.26

appearance disappearance 1930, cosine similarity=0.37
appearance disappearance 1940, cosine similarity=0.33
appearance disappearance 1950, cosine similarity=0.40
appearance disappearance 1960, cosine similarity=0.37
appearance disappearance 1970, cosine similarity=0.42
appearance disappearance 1980, cosine similarity=0.39

appearance neat 1930, cosine similarity=0.23
appearance neat 1940, cosine similarity=0.28
appearance neat 1950, cosine similarity=0.19
appearance neat 1960, cosine similarity=0.27
appearance neat 1970, cosine similarity=0.23
appearance neat 1980, cosine similarity=0.19

appearance ugly 1930, cosine similarity=0.14
appearance ugly 1940, cosine similarity=0.15
appearance ugly 1950, cosine similarity=0.11
appearance ugly 1960, cosine similarity=0.20
appearance ugly 1970, cosine similarity=0.20
appearance ugly 1980, cosine similarity=0.14

appendage arm 1930, cosine similarity=0.03
appendage arm 1940, cosine similarity=0.10
appendage arm 1950, cosine similarity=0.13
appendage arm 1960, cosine similarity=0.04
appendage arm 1970, cosine similarity=0.08
appendage arm 1980, cosine similarity=0.08

appendage leg 1930, cosine similarity=0.13
appendage leg 1940, cosine similarity=0.05
appendage leg 1950, cosine similarity=0.14
appendage leg 1960, cosine similarity=0.07
appendage leg 1970, cosine similarity=0.09
appendage leg 1980, cosine similarity=0.16

appendage book 1930, cosine similarity=-0.03
appendage book 1940, cosine similarity=-0.06
appendage book 1950, cosine similarity=0.01
appendage book 1960, cosine similarity=-0.02
appendage book 1970, cosine similarity=-0.14
appendage book 1980, cosine similarity=-0.12

appendage finger 1930, cosine similarity=0.11
appendage finger 1940, cosine similarity=0.14
appendage finger 1950, cosine similarity=0.07
appendage finger 1960, cosine similarity=0.11
appendage finger 1970, cosine similarity=0.14
appendage finger 1980, cosine similarity=0.09

appendage addition 1930, cosine similarity=0.01
appendage addition 1940, cosine similarity=-0.02
appendage addition 1950, cosine similarity=0.03
appendage addition 1960, cosine similarity=0.04
appendage addition 1970, cosine similarity=-0.05
appendage addition 1980, cosine similarity=0.03

appendage attach 1930, cosine similarity=0.03
appendage attach 1940, cosine similarity=0.09
appendage attach 1950, cosine similarity=-0.00
appendage attach 1960, cosine similarity=0.09
appendage attach 1970, cosine similarity=0.03
appendage attach 1980, cosine similarity=-0.04

appendage body 1930, cosine similarity=0.17
appendage body 1940, cosine similarity=0.14
appendage body 1950, cosine similarity=0.14
appendage body 1960, cosine similarity=0.10
appendage body 1970, cosine similarity=0.06
appendage body 1980, cosine similarity=0.11

appendage foot 1930, cosine similarity=0.07
appendage foot 1940, cosine similarity=-0.01
appendage foot 1950, cosine similarity=0.04
appendage foot 1960, cosine similarity=-0.01
appendage foot 1970, cosine similarity=0.03
appendage foot 1980, cosine similarity=0.02

appendage glossary 1930, cosine similarity=0.11
appendage glossary 1940, cosine similarity=0.03
appendage glossary 1950, cosine similarity=0.07
appendage glossary 1960, cosine similarity=0.06
appendage glossary 1970, cosine similarity=-0.04
appendage glossary 1980, cosine similarity=-0.05

appendage limb 1930, cosine similarity=0.15
appendage limb 1940, cosine similarity=0.11
appendage limb 1950, cosine similarity=0.10
appendage limb 1960, cosine similarity=0.07
appendage limb 1970, cosine similarity=0.10
appendage limb 1980, cosine similarity=0.11

appendage operation 1930, cosine similarity=0.02
appendage operation 1940, cosine similarity=0.02
appendage operation 1950, cosine similarity=0.02
appendage operation 1960, cosine similarity=0.03
appendage operation 1970, cosine similarity=0.03
appendage operation 1980, cosine similarity=0.05

apple red 1930, cosine similarity=0.15
apple red 1940, cosine similarity=0.16
apple red 1950, cosine similarity=0.16
apple red 1960, cosine similarity=0.08
apple red 1970, cosine similarity=0.20
apple red 1980, cosine similarity=0.19

apple orange 1930, cosine similarity=0.32
apple orange 1940, cosine similarity=0.29
apple orange 1950, cosine similarity=0.33
apple orange 1960, cosine similarity=0.32
apple orange 1970, cosine similarity=0.37
apple orange 1980, cosine similarity=0.32

apple fruit 1930, cosine similarity=0.44
apple fruit 1940, cosine similarity=0.45
apple fruit 1950, cosine similarity=0.49
apple fruit 1960, cosine similarity=0.46
apple fruit 1970, cosine similarity=0.43
apple fruit 1980, cosine similarity=0.33

apple pie 1930, cosine similarity=0.37
apple pie 1940, cosine similarity=0.39
apple pie 1950, cosine similarity=0.39
apple pie 1960, cosine similarity=0.37
apple pie 1970, cosine similarity=0.43
apple pie 1980, cosine similarity=0.33

apple pear 1930, cosine similarity=0.46
apple pear 1940, cosine similarity=0.46
apple pear 1950, cosine similarity=0.48
apple pear 1960, cosine similarity=0.46
apple pear 1970, cosine similarity=0.51
apple pear 1980, cosine similarity=0.36

apple worm 1930, cosine similarity=0.30
apple worm 1940, cosine similarity=0.24
apple worm 1950, cosine similarity=0.27
apple worm 1960, cosine similarity=0.27
apple worm 1970, cosine similarity=0.28
apple worm 1980, cosine similarity=0.26

apple green 1930, cosine similarity=0.31
apple green 1940, cosine similarity=0.31
apple green 1950, cosine similarity=0.31
apple green 1960, cosine similarity=0.27
apple green 1970, cosine similarity=0.37
apple green 1980, cosine similarity=0.22

apple peach 1930, cosine similarity=0.54
apple peach 1940, cosine similarity=0.46
apple peach 1950, cosine similarity=0.47
apple peach 1960, cosine similarity=0.43
apple peach 1970, cosine similarity=0.48
apple peach 1980, cosine similarity=0.35

apple banana 1930, cosine similarity=0.37
apple banana 1940, cosine similarity=0.38
apple banana 1950, cosine similarity=0.36
apple banana 1960, cosine similarity=0.33
apple banana 1970, cosine similarity=0.41
apple banana 1980, cosine similarity=0.35

apple computer 1930, cosine similarity=0.00
apple computer 1940, cosine similarity=-0.08
apple computer 1950, cosine similarity=-0.07
apple computer 1960, cosine similarity=-0.12
apple computer 1970, cosine similarity=-0.03
apple computer 1980, cosine similarity=0.26

apple core 1930, cosine similarity=0.20
apple core 1940, cosine similarity=0.17
apple core 1950, cosine similarity=0.11
apple core 1960, cosine similarity=0.08
apple core 1970, cosine similarity=0.17
apple core 1980, cosine similarity=0.14

apple food 1930, cosine similarity=0.10
apple food 1940, cosine similarity=0.09
apple food 1950, cosine similarity=0.11
apple food 1960, cosine similarity=0.16
apple food 1970, cosine similarity=0.05
apple food 1980, cosine similarity=0.04

apple tree 1930, cosine similarity=0.54
apple tree 1940, cosine similarity=0.50
apple tree 1950, cosine similarity=0.52
apple tree 1960, cosine similarity=0.44
apple tree 1970, cosine similarity=0.44
apple tree 1980, cosine similarity=0.36

apple bite 1930, cosine similarity=0.28
apple bite 1940, cosine similarity=0.25
apple bite 1950, cosine similarity=0.29
apple bite 1960, cosine similarity=0.35
apple bite 1970, cosine similarity=0.30
apple bite 1980, cosine similarity=0.30

apple crisp 1930, cosine similarity=0.14
apple crisp 1940, cosine similarity=0.17
apple crisp 1950, cosine similarity=0.23
apple crisp 1960, cosine similarity=0.25
apple crisp 1970, cosine similarity=0.17
apple crisp 1980, cosine similarity=0.08

apple eat 1930, cosine similarity=0.31
apple eat 1940, cosine similarity=0.26
apple eat 1950, cosine similarity=0.31
apple eat 1960, cosine similarity=0.32
apple eat 1970, cosine similarity=0.34
apple eat 1980, cosine similarity=0.23

apple seed 1930, cosine similarity=0.24
apple seed 1940, cosine similarity=0.20
apple seed 1950, cosine similarity=0.27
apple seed 1960, cosine similarity=0.33
apple seed 1970, cosine similarity=0.33
apple seed 1980, cosine similarity=0.27

appliance stove 1930, cosine similarity=0.15
appliance stove 1940, cosine similarity=0.11
appliance stove 1950, cosine similarity=0.14
appliance stove 1960, cosine similarity=0.09
appliance stove 1970, cosine similarity=0.13
appliance stove 1980, cosine similarity=0.11

appliance toaster 1930, cosine similarity=0.00
appliance toaster 1940, cosine similarity=0.00
appliance toaster 1950, cosine similarity=0.00
appliance toaster 1960, cosine similarity=0.00
appliance toaster 1970, cosine similarity=0.00
appliance toaster 1980, cosine similarity=0.20

appliance kitchen 1930, cosine similarity=-0.02
appliance kitchen 1940, cosine similarity=-0.00
appliance kitchen 1950, cosine similarity=0.08
appliance kitchen 1960, cosine similarity=0.07
appliance kitchen 1970, cosine similarity=0.11
appliance kitchen 1980, cosine similarity=0.09

appliance refrigerator 1930, cosine similarity=0.18
appliance refrigerator 1940, cosine similarity=0.19
appliance refrigerator 1950, cosine similarity=0.22
appliance refrigerator 1960, cosine similarity=0.14
appliance refrigerator 1970, cosine similarity=0.20
appliance refrigerator 1980, cosine similarity=0.21

appliance blender 1930, cosine similarity=0.00
appliance blender 1940, cosine similarity=0.00
appliance blender 1950, cosine similarity=0.00
appliance blender 1960, cosine similarity=0.13
appliance blender 1970, cosine similarity=0.10
appliance blender 1980, cosine similarity=0.15

appliance washer 1930, cosine similarity=0.11
appliance washer 1940, cosine similarity=0.20
appliance washer 1950, cosine similarity=0.16
appliance washer 1960, cosine similarity=0.10
appliance washer 1970, cosine similarity=0.15
appliance washer 1980, cosine similarity=0.13

appliance microwave 1930, cosine similarity=0.00
appliance microwave 1940, cosine similarity=0.00
appliance microwave 1950, cosine similarity=0.13
appliance microwave 1960, cosine similarity=0.28
appliance microwave 1970, cosine similarity=0.16
appliance microwave 1980, cosine similarity=0.14

appliance electric 1930, cosine similarity=0.21
appliance electric 1940, cosine similarity=0.22
appliance electric 1950, cosine similarity=0.26
appliance electric 1960, cosine similarity=0.20
appliance electric 1970, cosine similarity=0.27
appliance electric 1980, cosine similarity=0.25

appliance oven 1930, cosine similarity=0.08
appliance oven 1940, cosine similarity=0.07
appliance oven 1950, cosine similarity=0.04
appliance oven 1960, cosine similarity=0.04
appliance oven 1970, cosine similarity=0.08
appliance oven 1980, cosine similarity=0.07

appliance can opener 1930, cosine similarity=0.00
appliance can opener 1940, cosine similarity=0.00
appliance can opener 1950, cosine similarity=0.00
appliance can opener 1960, cosine similarity=0.00
appliance can opener 1970, cosine similarity=0.00
appliance can opener 1980, cosine similarity=0.00

appliance dishwasher 1930, cosine similarity=0.00
appliance dishwasher 1940, cosine similarity=0.00
appliance dishwasher 1950, cosine similarity=0.00
appliance dishwasher 1960, cosine similarity=0.00
appliance dishwasher 1970, cosine similarity=0.23
appliance dishwasher 1980, cosine similarity=0.16

appliance household 1930, cosine similarity=0.03
appliance household 1940, cosine similarity=0.11
appliance household 1950, cosine similarity=0.08
appliance household 1960, cosine similarity=0.04
appliance household 1970, cosine similarity=0.13
appliance household 1980, cosine similarity=0.09

appliance pot 1930, cosine similarity=0.09
appliance pot 1940, cosine similarity=0.06
appliance pot 1950, cosine similarity=0.09
appliance pot 1960, cosine similarity=0.03
appliance pot 1970, cosine similarity=0.02
appliance pot 1980, cosine similarity=0.01

appliance television 1930, cosine similarity=0.14
appliance television 1940, cosine similarity=0.16
appliance television 1950, cosine similarity=0.12
appliance television 1960, cosine similarity=0.16
appliance television 1970, cosine similarity=0.14
appliance television 1980, cosine similarity=0.19

appliance cook 1930, cosine similarity=0.02
appliance cook 1940, cosine similarity=-0.04
appliance cook 1950, cosine similarity=0.09
appliance cook 1960, cosine similarity=0.08
appliance cook 1970, cosine similarity=0.01
appliance cook 1980, cosine similarity=0.01

appliance dryer 1930, cosine similarity=0.00
appliance dryer 1940, cosine similarity=0.00
appliance dryer 1950, cosine similarity=0.18
appliance dryer 1960, cosine similarity=0.13
appliance dryer 1970, cosine similarity=0.09
appliance dryer 1980, cosine similarity=0.11

appliance iron 1930, cosine similarity=0.13
appliance iron 1940, cosine similarity=0.10
appliance iron 1950, cosine similarity=0.18
appliance iron 1960, cosine similarity=0.12
appliance iron 1970, cosine similarity=0.18
appliance iron 1980, cosine similarity=0.11

appliance mixer 1930, cosine similarity=0.15
appliance mixer 1940, cosine similarity=0.29
appliance mixer 1950, cosine similarity=0.12
appliance mixer 1960, cosine similarity=0.10
appliance mixer 1970, cosine similarity=0.11
appliance mixer 1980, cosine similarity=0.14

application job 1930, cosine similarity=0.03
application job 1940, cosine similarity=0.11
application job 1950, cosine similarity=0.06
application job 1960, cosine similarity=0.01
application job 1970, cosine similarity=0.09
application job 1980, cosine similarity=0.09

application form 1930, cosine similarity=0.13
application form 1940, cosine similarity=0.16
application form 1950, cosine similarity=0.16
application form 1960, cosine similarity=0.12
application form 1970, cosine similarity=0.10
application form 1980, cosine similarity=0.12

application apply 1930, cosine similarity=0.42
application apply 1940, cosine similarity=0.48
application apply 1950, cosine similarity=0.48
application apply 1960, cosine similarity=0.51
application apply 1970, cosine similarity=0.45
application apply 1980, cosine similarity=0.43

application use 1930, cosine similarity=0.33
application use 1940, cosine similarity=0.32
application use 1950, cosine similarity=0.36
application use 1960, cosine similarity=0.27
application use 1970, cosine similarity=0.35
application use 1980, cosine similarity=0.35

application employment 1930, cosine similarity=0.18
application employment 1940, cosine similarity=0.14
application employment 1950, cosine similarity=0.17
application employment 1960, cosine similarity=0.11
application employment 1970, cosine similarity=0.13
application employment 1980, cosine similarity=0.12

application work 1930, cosine similarity=0.13
application work 1940, cosine similarity=0.06
application work 1950, cosine similarity=0.08
application work 1960, cosine similarity=0.02
application work 1970, cosine similarity=0.09
application work 1980, cosine similarity=0.12

application college 1930, cosine similarity=0.00
application college 1940, cosine similarity=-0.02
application college 1950, cosine similarity=-0.03
application college 1960, cosine similarity=-0.05
application college 1970, cosine similarity=0.00
application college 1980, cosine similarity=-0.01

application interview 1930, cosine similarity=0.07
application interview 1940, cosine similarity=0.09
application interview 1950, cosine similarity=0.02
application interview 1960, cosine similarity=0.04
application interview 1970, cosine similarity=0.04
application interview 1980, cosine similarity=0.11

application acceptance 1930, cosine similarity=0.28
application acceptance 1940, cosine similarity=0.24
application acceptance 1950, cosine similarity=0.28
application acceptance 1960, cosine similarity=0.23
application acceptance 1970, cosine similarity=0.22
application acceptance 1980, cosine similarity=0.32

application applicant 1930, cosine similarity=0.37
application applicant 1940, cosine similarity=0.34
application applicant 1950, cosine similarity=0.35
application applicant 1960, cosine similarity=0.32
application applicant 1970, cosine similarity=0.35
application applicant 1980, cosine similarity=0.36

application earn 1930, cosine similarity=-0.05
application earn 1940, cosine similarity=0.03
application earn 1950, cosine similarity=-0.08
application earn 1960, cosine similarity=-0.06
application earn 1970, cosine similarity=-0.06
application earn 1980, cosine similarity=-0.05

application information 1930, cosine similarity=0.11
application information 1940, cosine similarity=0.16
application information 1950, cosine similarity=0.11
application information 1960, cosine similarity=0.16
application information 1970, cosine similarity=0.12
application information 1980, cosine similarity=0.16

application make up 1930, cosine similarity=0.00
application make up 1940, cosine similarity=0.00
application make up 1950, cosine similarity=0.00
application make up 1960, cosine similarity=0.00
application make up 1970, cosine similarity=0.00
application make up 1980, cosine similarity=0.00

application medicine 1930, cosine similarity=0.16
application medicine 1940, cosine similarity=0.18
application medicine 1950, cosine similarity=0.14
application medicine 1960, cosine similarity=0.10
application medicine 1970, cosine similarity=0.17
application medicine 1980, cosine similarity=0.12

application pain 1930, cosine similarity=-0.05
application pain 1940, cosine similarity=-0.03
application pain 1950, cosine similarity=-0.02
application pain 1960, cosine similarity=-0.01
application pain 1970, cosine similarity=0.02
application pain 1980, cosine similarity=-0.04

application permit 1930, cosine similarity=0.22
application permit 1940, cosine similarity=0.30
application permit 1950, cosine similarity=0.27
application permit 1960, cosine similarity=0.28
application permit 1970, cosine similarity=0.31
application permit 1980, cosine similarity=0.28

application resume 1930, cosine similarity=0.01
application resume 1940, cosine similarity=-0.05
application resume 1950, cosine similarity=0.09
application resume 1960, cosine similarity=0.01
application resume 1970, cosine similarity=0.06
application resume 1980, cosine similarity=0.17

appointment doctor 1930, cosine similarity=0.12
appointment doctor 1940, cosine similarity=0.14
appointment doctor 1950, cosine similarity=0.21
appointment doctor 1960, cosine similarity=0.19
appointment doctor 1970, cosine similarity=0.25
appointment doctor 1980, cosine similarity=0.29

appointment time 1930, cosine similarity=0.14
appointment time 1940, cosine similarity=0.10
appointment time 1950, cosine similarity=0.05
appointment time 1960, cosine similarity=0.12
appointment time 1970, cosine similarity=0.09
appointment time 1980, cosine similarity=0.13

appointment date 1930, cosine similarity=0.10
appointment date 1940, cosine similarity=0.19
appointment date 1950, cosine similarity=0.20
appointment date 1960, cosine similarity=0.21
appointment date 1970, cosine similarity=0.22
appointment date 1980, cosine similarity=0.19

appointment meeting 1930, cosine similarity=0.24
appointment meeting 1940, cosine similarity=0.21
appointment meeting 1950, cosine similarity=0.29
appointment meeting 1960, cosine similarity=0.22
appointment meeting 1970, cosine similarity=0.24
appointment meeting 1980, cosine similarity=0.22

appointment schedule 1930, cosine similarity=0.09
appointment schedule 1940, cosine similarity=0.07
appointment schedule 1950, cosine similarity=0.07
appointment schedule 1960, cosine similarity=0.08
appointment schedule 1970, cosine similarity=0.12
appointment schedule 1980, cosine similarity=0.16

appointment book 1930, cosine similarity=-0.08
appointment book 1940, cosine similarity=-0.10
appointment book 1950, cosine similarity=-0.12
appointment book 1960, cosine similarity=-0.06
appointment book 1970, cosine similarity=-0.04
appointment book 1980, cosine similarity=-0.02

appointment commitment 1930, cosine similarity=0.17
appointment commitment 1940, cosine similarity=0.08
appointment commitment 1950, cosine similarity=0.02
appointment commitment 1960, cosine similarity=0.00
appointment commitment 1970, cosine similarity=0.05
appointment commitment 1980, cosine similarity=0.04

appointment dentist 1930, cosine similarity=0.20
appointment dentist 1940, cosine similarity=0.20
appointment dentist 1950, cosine similarity=0.23
appointment dentist 1960, cosine similarity=0.21
appointment dentist 1970, cosine similarity=0.29
appointment dentist 1980, cosine similarity=0.30

appointment keep 1930, cosine similarity=0.05
appointment keep 1940, cosine similarity=0.05
appointment keep 1950, cosine similarity=0.06
appointment keep 1960, cosine similarity=0.04
appointment keep 1970, cosine similarity=0.07
appointment keep 1980, cosine similarity=0.11

appointment set 1930, cosine similarity=-0.07
appointment set 1940, cosine similarity=0.02
appointment set 1950, cosine similarity=0.02
appointment set 1960, cosine similarity=-0.00
appointment set 1970, cosine similarity=0.10
appointment set 1980, cosine similarity=0.06

appointment assign 1930, cosine similarity=0.15
appointment assign 1940, cosine similarity=0.22
appointment assign 1950, cosine similarity=0.16
appointment assign 1960, cosine similarity=0.19
appointment assign 1970, cosine similarity=0.17
appointment assign 1980, cosine similarity=0.18

appointment interview 1930, cosine similarity=0.29
appointment interview 1940, cosine similarity=0.33
appointment interview 1950, cosine similarity=0.31
appointment interview 1960, cosine similarity=0.27
appointment interview 1970, cosine similarity=0.30
appointment interview 1980, cosine similarity=0.30

appointment only 1930, cosine similarity=0.02
appointment only 1940, cosine similarity=0.01
appointment only 1950, cosine similarity=-0.01
appointment only 1960, cosine similarity=-0.04
appointment only 1970, cosine similarity=0.01
appointment only 1980, cosine similarity=-0.02

appraise value 1930, cosine similarity=0.24
appraise value 1940, cosine similarity=0.22
appraise value 1950, cosine similarity=0.21
appraise value 1960, cosine similarity=0.13
appraise value 1970, cosine similarity=0.14
appraise value 1980, cosine similarity=0.15

appraise estimate 1930, cosine similarity=0.40
appraise estimate 1940, cosine similarity=0.30
appraise estimate 1950, cosine similarity=0.33
appraise estimate 1960, cosine similarity=0.25
appraise estimate 1970, cosine similarity=0.31
appraise estimate 1980, cosine similarity=0.23

appraise house 1930, cosine similarity=-0.13
appraise house 1940, cosine similarity=-0.08
appraise house 1950, cosine similarity=-0.04
appraise house 1960, cosine similarity=-0.17
appraise house 1970, cosine similarity=-0.16
appraise house 1980, cosine similarity=-0.05

appraise evaluate 1930, cosine similarity=0.43
appraise evaluate 1940, cosine similarity=0.55
appraise evaluate 1950, cosine similarity=0.51
appraise evaluate 1960, cosine similarity=0.48
appraise evaluate 1970, cosine similarity=0.49
appraise evaluate 1980, cosine similarity=0.40

appraise worth 1930, cosine similarity=0.13
appraise worth 1940, cosine similarity=0.22
appraise worth 1950, cosine similarity=0.17
appraise worth 1960, cosine similarity=0.13
appraise worth 1970, cosine similarity=0.17
appraise worth 1980, cosine similarity=0.08

appraise cost 1930, cosine similarity=0.12
appraise cost 1940, cosine similarity=0.12
appraise cost 1950, cosine similarity=0.12
appraise cost 1960, cosine similarity=0.10
appraise cost 1970, cosine similarity=0.16
appraise cost 1980, cosine similarity=0.14

appraise price 1930, cosine similarity=0.06
appraise price 1940, cosine similarity=0.04
appraise price 1950, cosine similarity=0.07
appraise price 1960, cosine similarity=0.13
appraise price 1970, cosine similarity=0.08
appraise price 1980, cosine similarity=0.07

appraise check 1930, cosine similarity=0.15
appraise check 1940, cosine similarity=0.08
appraise check 1950, cosine similarity=0.17
appraise check 1960, cosine similarity=0.10
appraise check 1970, cosine similarity=0.14
appraise check 1980, cosine similarity=0.08

appraise decide 1930, cosine similarity=0.26
appraise decide 1940, cosine similarity=0.25
appraise decide 1950, cosine similarity=0.34
appraise decide 1960, cosine similarity=0.15
appraise decide 1970, cosine similarity=0.27
appraise decide 1980, cosine similarity=0.24

appraise jewelry 1930, cosine similarity=0.05
appraise jewelry 1940, cosine similarity=-0.03
appraise jewelry 1950, cosine similarity=-0.04
appraise jewelry 1960, cosine similarity=0.06
appraise jewelry 1970, cosine similarity=-0.05
appraise jewelry 1980, cosine similarity=-0.03

appraise judge 1930, cosine similarity=0.12
appraise judge 1940, cosine similarity=0.18
appraise judge 1950, cosine similarity=0.23
appraise judge 1960, cosine similarity=0.19
appraise judge 1970, cosine similarity=0.24
appraise judge 1980, cosine similarity=0.17

appraise assess 1930, cosine similarity=0.47
appraise assess 1940, cosine similarity=0.53
appraise assess 1950, cosine similarity=0.50
appraise assess 1960, cosine similarity=0.47
appraise assess 1970, cosine similarity=0.45
appraise assess 1980, cosine similarity=0.34

appraise insurance 1930, cosine similarity=0.07
appraise insurance 1940, cosine similarity=0.08
appraise insurance 1950, cosine similarity=0.03
appraise insurance 1960, cosine similarity=0.07
appraise insurance 1970, cosine similarity=0.13
appraise insurance 1980, cosine similarity=0.04

appraise look 1930, cosine similarity=0.06
appraise look 1940, cosine similarity=0.08
appraise look 1950, cosine similarity=0.02
appraise look 1960, cosine similarity=0.04
appraise look 1970, cosine similarity=-0.04
appraise look 1980, cosine similarity=0.02

approval disapproval 1930, cosine similarity=0.51
approval disapproval 1940, cosine similarity=0.45
approval disapproval 1950, cosine similarity=0.47
approval disapproval 1960, cosine similarity=0.48
approval disapproval 1970, cosine similarity=0.44
approval disapproval 1980, cosine similarity=0.48

approval yes 1930, cosine similarity=-0.01
approval yes 1940, cosine similarity=0.03
approval yes 1950, cosine similarity=-0.01
approval yes 1960, cosine similarity=-0.00
approval yes 1970, cosine similarity=0.05
approval yes 1980, cosine similarity=0.04

approval okay 1930, cosine similarity=-0.10
approval okay 1940, cosine similarity=-0.02
approval okay 1950, cosine similarity=0.03
approval okay 1960, cosine similarity=-0.10
approval okay 1970, cosine similarity=0.01
approval okay 1980, cosine similarity=0.03

approval agreement 1930, cosine similarity=0.21
approval agreement 1940, cosine similarity=0.28
approval agreement 1950, cosine similarity=0.23
approval agreement 1960, cosine similarity=0.25
approval agreement 1970, cosine similarity=0.23
approval agreement 1980, cosine similarity=0.28

approval acceptance 1930, cosine similarity=0.33
approval acceptance 1940, cosine similarity=0.32
approval acceptance 1950, cosine similarity=0.40
approval acceptance 1960, cosine similarity=0.39
approval acceptance 1970, cosine similarity=0.41
approval acceptance 1980, cosine similarity=0.43

approval permission 1930, cosine similarity=0.25
approval permission 1940, cosine similarity=0.28
approval permission 1950, cosine similarity=0.29
approval permission 1960, cosine similarity=0.27
approval permission 1970, cosine similarity=0.29
approval permission 1980, cosine similarity=0.24

approval praise 1930, cosine similarity=0.16
approval praise 1940, cosine similarity=0.23
approval praise 1950, cosine similarity=0.24
approval praise 1960, cosine similarity=0.19
approval praise 1970, cosine similarity=0.20
approval praise 1980, cosine similarity=0.23

approval blessing 1930, cosine similarity=0.11
approval blessing 1940, cosine similarity=0.11
approval blessing 1950, cosine similarity=0.12
approval blessing 1960, cosine similarity=0.16
approval blessing 1970, cosine similarity=0.05
approval blessing 1980, cosine similarity=0.08

approval denial 1930, cosine similarity=0.08
approval denial 1940, cosine similarity=0.06
approval denial 1950, cosine similarity=0.11
approval denial 1960, cosine similarity=0.09
