tab soda 1930, cosine similarity=0.00
think cogitate 1980, cosine similarity=0.00

think contemplate 1930, cosine similarity=0.23
think contemplate 1940, cosine similarity=0.15
think contemplate 1950, cosine similarity=0.20
think contemplate 1960, cosine similarity=0.19
think contemplate 1970, cosine similarity=0.27
think contemplate 1980, cosine similarity=0.21

think do 1930, cosine similarity=0.55
think do 1940, cosine similarity=0.51
think do 1950, cosine similarity=0.53
think do 1960, cosine similarity=0.57
think do 1970, cosine similarity=0.61
think do 1980, cosine similarity=0.59

think memory 1930, cosine similarity=0.14
think memory 1940, cosine similarity=0.05
think memory 1950, cosine similarity=0.10
think memory 1960, cosine similarity=0.06
think memory 1970, cosine similarity=0.05
think memory 1980, cosine similarity=0.10

think plan 1930, cosine similarity=0.08
think plan 1940, cosine similarity=0.08
think plan 1950, cosine similarity=0.14
think plan 1960, cosine similarity=0.10
think plan 1970, cosine similarity=0.09
think plan 1980, cosine similarity=0.07

think problem 1930, cosine similarity=0.08
think problem 1940, cosine similarity=0.13
think problem 1950, cosine similarity=0.10
think problem 1960, cosine similarity=0.16
think problem 1970, cosine similarity=0.19
think problem 1980, cosine similarity=0.15

think talk 1930, cosine similarity=0.41
think talk 1940, cosine similarity=0.46
think talk 1950, cosine similarity=0.43
think talk 1960, cosine similarity=0.48
think talk 1970, cosine similarity=0.51
think talk 1980, cosine similarity=0.50

think try 1930, cosine similarity=0.38
think try 1940, cosine similarity=0.40
think try 1950, cosine similarity=0.43
think try 1960, cosine similarity=0.42
think try 1970, cosine similarity=0.43
think try 1980, cosine similarity=0.49

think wonder 1930, cosine similarity=0.39
think wonder 1940, cosine similarity=0.33
think wonder 1950, cosine similarity=0.42
think wonder 1960, cosine similarity=0.43
think wonder 1970, cosine similarity=0.39
think wonder 1980, cosine similarity=0.45

thinking brain 1930, cosine similarity=0.08
thinking brain 1940, cosine similarity=0.10
thinking brain 1950, cosine similarity=0.11
thinking brain 1960, cosine similarity=0.07
thinking brain 1970, cosine similarity=0.13
thinking brain 1980, cosine similarity=0.09

thinking thought 1930, cosine similarity=0.53
thinking thought 1940, cosine similarity=0.53
thinking thought 1950, cosine similarity=0.47
thinking thought 1960, cosine similarity=0.50
thinking thought 1970, cosine similarity=0.54
thinking thought 1980, cosine similarity=0.50

thinking cap 1930, cosine similarity=-0.00
thinking cap 1940, cosine similarity=-0.16
thinking cap 1950, cosine similarity=-0.06
thinking cap 1960, cosine similarity=-0.08
thinking cap 1970, cosine similarity=0.02
thinking cap 1980, cosine similarity=-0.09

thinking ponder 1930, cosine similarity=0.20
thinking ponder 1940, cosine similarity=0.24
thinking ponder 1950, cosine similarity=0.17
thinking ponder 1960, cosine similarity=0.16
thinking ponder 1970, cosine similarity=0.19
thinking ponder 1980, cosine similarity=0.09

thinking mind 1930, cosine similarity=0.35
thinking mind 1940, cosine similarity=0.34
thinking mind 1950, cosine similarity=0.36
thinking mind 1960, cosine similarity=0.34
thinking mind 1970, cosine similarity=0.33
thinking mind 1980, cosine similarity=0.33

thinking smart 1930, cosine similarity=0.14
thinking smart 1940, cosine similarity=0.05
thinking smart 1950, cosine similarity=0.12
thinking smart 1960, cosine similarity=0.13
thinking smart 1970, cosine similarity=0.14
thinking smart 1980, cosine similarity=0.23

thinking study 1930, cosine similarity=0.13
thinking study 1940, cosine similarity=0.12
thinking study 1950, cosine similarity=0.12
thinking study 1960, cosine similarity=0.13
thinking study 1970, cosine similarity=0.08
thinking study 1980, cosine similarity=0.03

thinking process 1930, cosine similarity=0.20
thinking process 1940, cosine similarity=0.17
thinking process 1950, cosine similarity=0.16
thinking process 1960, cosine similarity=0.17
thinking process 1970, cosine similarity=0.14
thinking process 1980, cosine similarity=0.20

thinking school 1930, cosine similarity=0.06
thinking school 1940, cosine similarity=-0.01
thinking school 1950, cosine similarity=0.07
thinking school 1960, cosine similarity=0.08
thinking school 1970, cosine similarity=0.12
thinking school 1980, cosine similarity=0.10

thinking hard 1930, cosine similarity=0.17
thinking hard 1940, cosine similarity=0.13
thinking hard 1950, cosine similarity=0.20
thinking hard 1960, cosine similarity=0.14
thinking hard 1970, cosine similarity=0.16
thinking hard 1980, cosine similarity=0.18

thinking idea 1930, cosine similarity=0.26
thinking idea 1940, cosine similarity=0.32
thinking idea 1950, cosine similarity=0.29
thinking idea 1960, cosine similarity=0.28
thinking idea 1970, cosine similarity=0.26
thinking idea 1980, cosine similarity=0.25

thinking learning 1930, cosine similarity=0.26
thinking learning 1940, cosine similarity=0.25
thinking learning 1950, cosine similarity=0.28
thinking learning 1960, cosine similarity=0.29
thinking learning 1970, cosine similarity=0.29
thinking learning 1980, cosine similarity=0.31

thinking brainstorm 1930, cosine similarity=0.00
thinking brainstorm 1940, cosine similarity=0.00
thinking brainstorm 1950, cosine similarity=0.00
thinking brainstorm 1960, cosine similarity=0.00
thinking brainstorm 1970, cosine similarity=0.00
thinking brainstorm 1980, cosine similarity=-0.05

thinking concentrate 1930, cosine similarity=0.07
thinking concentrate 1940, cosine similarity=0.17
thinking concentrate 1950, cosine similarity=0.17
thinking concentrate 1960, cosine similarity=0.23
thinking concentrate 1970, cosine similarity=0.19
thinking concentrate 1980, cosine similarity=0.24

thinking dreaming 1930, cosine similarity=0.38
thinking dreaming 1940, cosine similarity=0.32
thinking dreaming 1950, cosine similarity=0.32
thinking dreaming 1960, cosine similarity=0.34
thinking dreaming 1970, cosine similarity=0.36
thinking dreaming 1980, cosine similarity=0.36

thinking feeling 1930, cosine similarity=0.38
thinking feeling 1940, cosine similarity=0.42
thinking feeling 1950, cosine similarity=0.42
thinking feeling 1960, cosine similarity=0.40
thinking feeling 1970, cosine similarity=0.42
thinking feeling 1980, cosine similarity=0.42

thinking intelligent 1930, cosine similarity=0.22
thinking intelligent 1940, cosine similarity=0.25
thinking intelligent 1950, cosine similarity=0.24
thinking intelligent 1960, cosine similarity=0.22
thinking intelligent 1970, cosine similarity=0.22
thinking intelligent 1980, cosine similarity=0.22

thinking quiet 1930, cosine similarity=0.15
thinking quiet 1940, cosine similarity=0.13
thinking quiet 1950, cosine similarity=0.18
thinking quiet 1960, cosine similarity=0.12
thinking quiet 1970, cosine similarity=0.13
thinking quiet 1980, cosine similarity=0.20

thinking test 1930, cosine similarity=0.01
thinking test 1940, cosine similarity=-0.03
thinking test 1950, cosine similarity=-0.01
thinking test 1960, cosine similarity=-0.03
thinking test 1970, cosine similarity=0.08
thinking test 1980, cosine similarity=0.04

thinking work 1930, cosine similarity=0.16
thinking work 1940, cosine similarity=0.11
thinking work 1950, cosine similarity=0.11
thinking work 1960, cosine similarity=0.26
thinking work 1970, cosine similarity=0.09
thinking work 1980, cosine similarity=0.21

third fourth 1930, cosine similarity=0.72
third fourth 1940, cosine similarity=0.70
third fourth 1950, cosine similarity=0.68
third fourth 1960, cosine similarity=0.73
third fourth 1970, cosine similarity=0.69
third fourth 1980, cosine similarity=0.67

third second 1930, cosine similarity=0.66
third second 1940, cosine similarity=0.62
third second 1950, cosine similarity=0.65
third second 1960, cosine similarity=0.62
third second 1970, cosine similarity=0.62
third second 1980, cosine similarity=0.57

third base 1930, cosine similarity=0.06
third base 1940, cosine similarity=0.08
third base 1950, cosine similarity=0.19
third base 1960, cosine similarity=0.09
third base 1970, cosine similarity=0.05
third base 1980, cosine similarity=0.04

third three 1930, cosine similarity=0.26
third three 1940, cosine similarity=0.27
third three 1950, cosine similarity=0.28
third three 1960, cosine similarity=0.26
third three 1970, cosine similarity=0.25
third three 1980, cosine similarity=0.25

third first 1930, cosine similarity=0.43
third first 1940, cosine similarity=0.46
third first 1950, cosine similarity=0.50
third first 1960, cosine similarity=0.46
third first 1970, cosine similarity=0.42
third first 1980, cosine similarity=0.37

third last 1930, cosine similarity=0.32
third last 1940, cosine similarity=0.30
third last 1950, cosine similarity=0.34
third last 1960, cosine similarity=0.29
third last 1970, cosine similarity=0.29
third last 1980, cosine similarity=0.28

third place 1930, cosine similarity=0.12
third place 1940, cosine similarity=0.07
third place 1950, cosine similarity=0.13
third place 1960, cosine similarity=0.10
third place 1970, cosine similarity=0.07
third place 1980, cosine similarity=0.08

third bronze 1930, cosine similarity=-0.02
third bronze 1940, cosine similarity=-0.03
third bronze 1950, cosine similarity=0.01
third bronze 1960, cosine similarity=0.02
third bronze 1970, cosine similarity=0.07
third bronze 1980, cosine similarity=-0.01

third degree 1930, cosine similarity=0.01
third degree 1940, cosine similarity=0.05
third degree 1950, cosine similarity=0.04
third degree 1960, cosine similarity=0.09
third degree 1970, cosine similarity=0.07
third degree 1980, cosine similarity=0.06

third number 1930, cosine similarity=0.19
third number 1940, cosine similarity=0.11
third number 1950, cosine similarity=0.07
third number 1960, cosine similarity=0.13
third number 1970, cosine similarity=0.03
third number 1980, cosine similarity=0.06

third world 1930, cosine similarity=-0.01
third world 1940, cosine similarity=-0.01
third world 1950, cosine similarity=0.05
third world 1960, cosine similarity=0.10
third world 1970, cosine similarity=0.22
third world 1980, cosine similarity=0.26

third grade 1930, cosine similarity=0.16
third grade 1940, cosine similarity=0.24
third grade 1950, cosine similarity=0.25
third grade 1960, cosine similarity=0.26
third grade 1970, cosine similarity=0.20
third grade 1980, cosine similarity=0.23

third home 1930, cosine similarity=-0.00
third home 1940, cosine similarity=0.03
third home 1950, cosine similarity=0.01
third home 1960, cosine similarity=0.02
third home 1970, cosine similarity=0.00
third home 1980, cosine similarity=0.01

third middle 1930, cosine similarity=0.25
third middle 1940, cosine similarity=0.26
third middle 1950, cosine similarity=0.24
third middle 1960, cosine similarity=0.23
third middle 1970, cosine similarity=0.29
third middle 1980, cosine similarity=0.29

third position 1930, cosine similarity=-0.02
third position 1940, cosine similarity=0.06
third position 1950, cosine similarity=0.06
third position 1960, cosine similarity=0.04
third position 1970, cosine similarity=0.08
third position 1980, cosine similarity=0.07

third wheel 1930, cosine similarity=0.05
third wheel 1940, cosine similarity=-0.02
third wheel 1950, cosine similarity=0.01
third wheel 1960, cosine similarity=0.01
third wheel 1970, cosine similarity=-0.02
third wheel 1980, cosine similarity=0.07

thirst water 1930, cosine similarity=0.11
thirst water 1940, cosine similarity=0.15
thirst water 1950, cosine similarity=0.17
thirst water 1960, cosine similarity=0.14
thirst water 1970, cosine similarity=0.18
thirst water 1980, cosine similarity=0.16

thirst drink 1930, cosine similarity=0.30
thirst drink 1940, cosine similarity=0.40
thirst drink 1950, cosine similarity=0.36
thirst drink 1960, cosine similarity=0.38
thirst drink 1970, cosine similarity=0.33
thirst drink 1980, cosine similarity=0.34

thirst hunger 1930, cosine similarity=0.66
thirst hunger 1940, cosine similarity=0.62
thirst hunger 1950, cosine similarity=0.61
thirst hunger 1960, cosine similarity=0.65
thirst hunger 1970, cosine similarity=0.60
thirst hunger 1980, cosine similarity=0.56

thirst quench 1930, cosine similarity=0.39
thirst quench 1940, cosine similarity=0.38
thirst quench 1950, cosine similarity=0.37
thirst quench 1960, cosine similarity=0.35
thirst quench 1970, cosine similarity=0.38
thirst quench 1980, cosine similarity=0.37

thirst dry 1930, cosine similarity=0.11
thirst dry 1940, cosine similarity=0.13
thirst dry 1950, cosine similarity=0.11
thirst dry 1960, cosine similarity=0.11
thirst dry 1970, cosine similarity=0.17
thirst dry 1980, cosine similarity=0.24

thirst coke 1930, cosine similarity=-0.01
thirst coke 1940, cosine similarity=0.04
thirst coke 1950, cosine similarity=-0.04
thirst coke 1960, cosine similarity=0.00
thirst coke 1970, cosine similarity=0.14
thirst coke 1980, cosine similarity=0.12

thirsty water 1930, cosine similarity=0.27
thirsty water 1940, cosine similarity=0.26
thirsty water 1950, cosine similarity=0.33
thirsty water 1960, cosine similarity=0.26
thirsty water 1970, cosine similarity=0.27
thirsty water 1980, cosine similarity=0.31

thirsty drink 1930, cosine similarity=0.43
thirsty drink 1940, cosine similarity=0.48
thirsty drink 1950, cosine similarity=0.44
thirsty drink 1960, cosine similarity=0.47
thirsty drink 1970, cosine similarity=0.41
thirsty drink 1980, cosine similarity=0.45

thirsty hungry 1930, cosine similarity=0.54
thirsty hungry 1940, cosine similarity=0.55
thirsty hungry 1950, cosine similarity=0.55
thirsty hungry 1960, cosine similarity=0.52
thirsty hungry 1970, cosine similarity=0.54
thirsty hungry 1980, cosine similarity=0.58

thirsty quench 1930, cosine similarity=0.20
thirsty quench 1940, cosine similarity=0.25
thirsty quench 1950, cosine similarity=0.21
thirsty quench 1960, cosine similarity=0.22
thirsty quench 1970, cosine similarity=0.24
thirsty quench 1980, cosine similarity=0.26

thirsty parched 1930, cosine similarity=0.37
thirsty parched 1940, cosine similarity=0.34
thirsty parched 1950, cosine similarity=0.37
thirsty parched 1960, cosine similarity=0.34
thirsty parched 1970, cosine similarity=0.32
thirsty parched 1980, cosine similarity=0.21

thirsty dry 1930, cosine similarity=0.23
thirsty dry 1940, cosine similarity=0.24
thirsty dry 1950, cosine similarity=0.22
thirsty dry 1960, cosine similarity=0.27
thirsty dry 1970, cosine similarity=0.24
thirsty dry 1980, cosine similarity=0.28

thirsty coke 1930, cosine similarity=-0.07
thirsty coke 1940, cosine similarity=0.07
thirsty coke 1950, cosine similarity=-0.05
thirsty coke 1960, cosine similarity=-0.03
thirsty coke 1970, cosine similarity=0.07
thirsty coke 1980, cosine similarity=0.05

thirsty soda 1930, cosine similarity=0.17
thirsty soda 1940, cosine similarity=0.11
thirsty soda 1950, cosine similarity=0.16
thirsty soda 1960, cosine similarity=0.12
thirsty soda 1970, cosine similarity=0.13
thirsty soda 1980, cosine similarity=0.15

thirsty beer 1930, cosine similarity=0.14
thirsty beer 1940, cosine similarity=0.17
thirsty beer 1950, cosine similarity=0.16
thirsty beer 1960, cosine similarity=0.10
thirsty beer 1970, cosine similarity=0.14
thirsty beer 1980, cosine similarity=0.18

thirsty gatoraid 1930, cosine similarity=0.00
thirsty gatoraid 1940, cosine similarity=0.00
thirsty gatoraid 1950, cosine similarity=0.00
thirsty gatoraid 1960, cosine similarity=0.00
thirsty gatoraid 1970, cosine similarity=0.00
thirsty gatoraid 1980, cosine similarity=0.00

thirsty hot 1930, cosine similarity=0.30
thirsty hot 1940, cosine similarity=0.38
thirsty hot 1950, cosine similarity=0.32
thirsty hot 1960, cosine similarity=0.34
thirsty hot 1970, cosine similarity=0.34
thirsty hot 1980, cosine similarity=0.36

thirsty tired 1930, cosine similarity=0.39
thirsty tired 1940, cosine similarity=0.38
thirsty tired 1950, cosine similarity=0.35
thirsty tired 1960, cosine similarity=0.38
thirsty tired 1970, cosine similarity=0.37
thirsty tired 1980, cosine similarity=0.41

thirsty wet 1930, cosine similarity=0.27
thirsty wet 1940, cosine similarity=0.34
thirsty wet 1950, cosine similarity=0.30
thirsty wet 1960, cosine similarity=0.32
thirsty wet 1970, cosine similarity=0.27
thirsty wet 1980, cosine similarity=0.30

thorn rose 1930, cosine similarity=0.24
thorn rose 1940, cosine similarity=0.25
thorn rose 1950, cosine similarity=0.24
thorn rose 1960, cosine similarity=0.19
thorn rose 1970, cosine similarity=0.26
thorn rose 1980, cosine similarity=0.21

thorn prick 1930, cosine similarity=0.21
thorn prick 1940, cosine similarity=0.21
thorn prick 1950, cosine similarity=0.31
thorn prick 1960, cosine similarity=0.29
thorn prick 1970, cosine similarity=0.28
thorn prick 1980, cosine similarity=0.25

thorn pain 1930, cosine similarity=0.16
thorn pain 1940, cosine similarity=0.08
thorn pain 1950, cosine similarity=0.12
thorn pain 1960, cosine similarity=0.13
thorn pain 1970, cosine similarity=0.08
thorn pain 1980, cosine similarity=0.07

thorn sharp 1930, cosine similarity=0.15
thorn sharp 1940, cosine similarity=0.15
thorn sharp 1950, cosine similarity=0.20
thorn sharp 1960, cosine similarity=0.18
thorn sharp 1970, cosine similarity=0.11
thorn sharp 1980, cosine similarity=0.15

thorn bush 1930, cosine similarity=0.37
thorn bush 1940, cosine similarity=0.30
thorn bush 1950, cosine similarity=0.38
thorn bush 1960, cosine similarity=0.34
thorn bush 1970, cosine similarity=0.34
thorn bush 1980, cosine similarity=0.31

thorn hurt 1930, cosine similarity=0.12
thorn hurt 1940, cosine similarity=0.08
thorn hurt 1950, cosine similarity=0.03
thorn hurt 1960, cosine similarity=0.09
thorn hurt 1970, cosine similarity=0.08
thorn hurt 1980, cosine similarity=-0.00

thorn needle 1930, cosine similarity=0.11
thorn needle 1940, cosine similarity=0.13
thorn needle 1950, cosine similarity=0.14
thorn needle 1960, cosine similarity=0.16
thorn needle 1970, cosine similarity=0.03
thorn needle 1980, cosine similarity=0.17

thorn side 1930, cosine similarity=0.25
thorn side 1940, cosine similarity=0.21
thorn side 1950, cosine similarity=0.24
thorn side 1960, cosine similarity=0.30
thorn side 1970, cosine similarity=0.27
thorn side 1980, cosine similarity=0.19

thorn plant 1930, cosine similarity=0.20
thorn plant 1940, cosine similarity=0.13
thorn plant 1950, cosine similarity=0.12
thorn plant 1960, cosine similarity=0.02
thorn plant 1970, cosine similarity=0.04
thorn plant 1980, cosine similarity=0.16

thorn stick 1930, cosine similarity=0.20
thorn stick 1940, cosine similarity=0.18
thorn stick 1950, cosine similarity=0.25
thorn stick 1960, cosine similarity=0.17
thorn stick 1970, cosine similarity=0.14
thorn stick 1980, cosine similarity=0.17

thorn crown 1930, cosine similarity=0.19
thorn crown 1940, cosine similarity=0.12
thorn crown 1950, cosine similarity=0.19
thorn crown 1960, cosine similarity=0.16
thorn crown 1970, cosine similarity=0.11
thorn crown 1980, cosine similarity=0.19

thorn lion 1930, cosine similarity=0.25
thorn lion 1940, cosine similarity=0.20
thorn lion 1950, cosine similarity=0.22
thorn lion 1960, cosine similarity=0.25
thorn lion 1970, cosine similarity=0.25
thorn lion 1980, cosine similarity=0.27

thorn point 1930, cosine similarity=-0.04
thorn point 1940, cosine similarity=0.04
thorn point 1950, cosine similarity=0.03
thorn point 1960, cosine similarity=-0.02
thorn point 1970, cosine similarity=-0.06
thorn point 1980, cosine similarity=-0.00

thorn spike 1930, cosine similarity=0.16
thorn spike 1940, cosine similarity=0.08
thorn spike 1950, cosine similarity=0.22
thorn spike 1960, cosine similarity=0.20
thorn spike 1970, cosine similarity=0.14
thorn spike 1980, cosine similarity=0.13

thorn thistle 1930, cosine similarity=0.25
thorn thistle 1940, cosine similarity=0.27
thorn thistle 1950, cosine similarity=0.27
thorn thistle 1960, cosine similarity=0.27
thorn thistle 1970, cosine similarity=0.30
thorn thistle 1980, cosine similarity=0.18

thorn thumb 1930, cosine similarity=0.19
thorn thumb 1940, cosine similarity=0.12
thorn thumb 1950, cosine similarity=0.21
thorn thumb 1960, cosine similarity=0.15
thorn thumb 1970, cosine similarity=0.13
thorn thumb 1980, cosine similarity=0.11

thought think 1930, cosine similarity=0.42
thought think 1940, cosine similarity=0.44
thought think 1950, cosine similarity=0.42
thought think 1960, cosine similarity=0.43
thought think 1970, cosine similarity=0.44
thought think 1980, cosine similarity=0.46

thought idea 1930, cosine similarity=0.31
thought idea 1940, cosine similarity=0.40
thought idea 1950, cosine similarity=0.35
thought idea 1960, cosine similarity=0.35
thought idea 1970, cosine similarity=0.31
thought idea 1980, cosine similarity=0.28

thought mind 1930, cosine similarity=0.33
thought mind 1940, cosine similarity=0.30
thought mind 1950, cosine similarity=0.35
thought mind 1960, cosine similarity=0.33
thought mind 1970, cosine similarity=0.33
thought mind 1980, cosine similarity=0.33

thought dream 1930, cosine similarity=0.27
thought dream 1940, cosine similarity=0.27
thought dream 1950, cosine similarity=0.26
thought dream 1960, cosine similarity=0.28
thought dream 1970, cosine similarity=0.26
thought dream 1980, cosine similarity=0.23

thought brain 1930, cosine similarity=0.09
thought brain 1940, cosine similarity=0.05
thought brain 1950, cosine similarity=0.11
thought brain 1960, cosine similarity=0.11
thought brain 1970, cosine similarity=0.12
thought brain 1980, cosine similarity=0.13

thought image 1930, cosine similarity=0.07
thought image 1940, cosine similarity=0.08
thought image 1950, cosine similarity=0.09
thought image 1960, cosine similarity=0.11
thought image 1970, cosine similarity=0.11
thought image 1980, cosine similarity=0.07

thought time 1930, cosine similarity=0.21
thought time 1940, cosine similarity=0.22
thought time 1950, cosine similarity=0.18
thought time 1960, cosine similarity=0.15
thought time 1970, cosine similarity=0.17
thought time 1980, cosine similarity=0.10

thought process 1930, cosine similarity=0.06
thought process 1940, cosine similarity=0.07
thought process 1950, cosine similarity=0.05
thought process 1960, cosine similarity=0.11
thought process 1970, cosine similarity=0.05
thought process 1980, cosine similarity=0.04

thought wonder 1930, cosine similarity=0.18
thought wonder 1940, cosine similarity=0.32
thought wonder 1950, cosine similarity=0.25
thought wonder 1960, cosine similarity=0.20
thought wonder 1970, cosine similarity=0.20
thought wonder 1980, cosine similarity=0.32

thread needle 1930, cosine similarity=0.36
thread needle 1940, cosine similarity=0.36
thread needle 1950, cosine similarity=0.35
thread needle 1960, cosine similarity=0.34
thread needle 1970, cosine similarity=0.33
thread needle 1980, cosine similarity=0.35

thread sew 1930, cosine similarity=0.28
thread sew 1940, cosine similarity=0.27
thread sew 1950, cosine similarity=0.26
thread sew 1960, cosine similarity=0.34
thread sew 1970, cosine similarity=0.30
thread sew 1980, cosine similarity=0.29

thread string 1930, cosine similarity=0.33
thread string 1940, cosine similarity=0.36
thread string 1950, cosine similarity=0.36
thread string 1960, cosine similarity=0.34
thread string 1970, cosine similarity=0.36
thread string 1980, cosine similarity=0.33

thread cloth 1930, cosine similarity=0.26
thread cloth 1940, cosine similarity=0.30
thread cloth 1950, cosine similarity=0.33
thread cloth 1960, cosine similarity=0.35
thread cloth 1970, cosine similarity=0.28
thread cloth 1980, cosine similarity=0.34

thread clothes 1930, cosine similarity=0.14
thread clothes 1940, cosine similarity=0.12
thread clothes 1950, cosine similarity=0.13
thread clothes 1960, cosine similarity=0.10
thread clothes 1970, cosine similarity=0.17
thread clothes 1980, cosine similarity=0.15

thread rope 1930, cosine similarity=0.40
thread rope 1940, cosine similarity=0.40
thread rope 1950, cosine similarity=0.40
thread rope 1960, cosine similarity=0.42
thread rope 1970, cosine similarity=0.42
thread rope 1980, cosine similarity=0.45

threat scare 1930, cosine similarity=0.08
threat scare 1940, cosine similarity=0.08
threat scare 1950, cosine similarity=0.06
threat scare 1960, cosine similarity=0.06
threat scare 1970, cosine similarity=0.10
threat scare 1980, cosine similarity=0.12

threat kill 1930, cosine similarity=0.14
threat kill 1940, cosine similarity=0.12
threat kill 1950, cosine similarity=0.16
threat kill 1960, cosine similarity=0.16
threat kill 1970, cosine similarity=0.06
threat kill 1980, cosine similarity=0.13

threat mean 1930, cosine similarity=0.03
threat mean 1940, cosine similarity=0.05
threat mean 1950, cosine similarity=-0.01
threat mean 1960, cosine similarity=0.04
threat mean 1970, cosine similarity=-0.02
threat mean 1980, cosine similarity=0.02

threat promise 1930, cosine similarity=0.31
threat promise 1940, cosine similarity=0.28
threat promise 1950, cosine similarity=0.29
threat promise 1960, cosine similarity=0.27
threat promise 1970, cosine similarity=0.27
threat promise 1980, cosine similarity=0.25

threat harm 1930, cosine similarity=0.30
threat harm 1940, cosine similarity=0.23
threat harm 1950, cosine similarity=0.26
threat harm 1960, cosine similarity=0.35
threat harm 1970, cosine similarity=0.33
threat harm 1980, cosine similarity=0.34

threat blackmail 1930, cosine similarity=0.16
threat blackmail 1940, cosine similarity=0.19
threat blackmail 1950, cosine similarity=0.18
threat blackmail 1960, cosine similarity=0.22
threat blackmail 1970, cosine similarity=0.24
threat blackmail 1980, cosine similarity=0.26

threat death 1930, cosine similarity=0.22
threat death 1940, cosine similarity=0.09
threat death 1950, cosine similarity=0.16
threat death 1960, cosine similarity=0.12
threat death 1970, cosine similarity=0.13
threat death 1980, cosine similarity=0.15

threat violent 1930, cosine similarity=0.20
threat violent 1940, cosine similarity=0.15
threat violent 1950, cosine similarity=0.22
threat violent 1960, cosine similarity=0.22
threat violent 1970, cosine similarity=0.18
threat violent 1980, cosine similarity=0.15

threat danger 1930, cosine similarity=0.48
threat danger 1940, cosine similarity=0.53
threat danger 1950, cosine similarity=0.50
threat danger 1960, cosine similarity=0.54
threat danger 1970, cosine similarity=0.50
threat danger 1980, cosine similarity=0.50

threat life 1930, cosine similarity=0.14
threat life 1940, cosine similarity=0.08
threat life 1950, cosine similarity=0.08
threat life 1960, cosine similarity=0.09
threat life 1970, cosine similarity=0.10
threat life 1980, cosine similarity=0.14

threat warn 1930, cosine similarity=0.16
threat warn 1940, cosine similarity=0.23
threat warn 1950, cosine similarity=0.19
threat warn 1960, cosine similarity=0.21
threat warn 1970, cosine similarity=0.17
threat warn 1980, cosine similarity=0.20

threat bomb 1930, cosine similarity=0.12
threat bomb 1940, cosine similarity=0.28
threat bomb 1950, cosine similarity=0.29
threat bomb 1960, cosine similarity=0.18
threat bomb 1970, cosine similarity=0.24
threat bomb 1980, cosine similarity=0.21

threat fear 1930, cosine similarity=0.36
threat fear 1940, cosine similarity=0.36
threat fear 1950, cosine similarity=0.28
threat fear 1960, cosine similarity=0.36
threat fear 1970, cosine similarity=0.30
threat fear 1980, cosine similarity=0.37

threat hurt 1930, cosine similarity=0.10
threat hurt 1940, cosine similarity=0.09
threat hurt 1950, cosine similarity=0.12
threat hurt 1960, cosine similarity=0.15
threat hurt 1970, cosine similarity=0.16
threat hurt 1980, cosine similarity=0.09

threat evil 1930, cosine similarity=0.22
threat evil 1940, cosine similarity=0.18
threat evil 1950, cosine similarity=0.21
threat evil 1960, cosine similarity=0.19
threat evil 1970, cosine similarity=0.18
threat evil 1980, cosine similarity=0.13

threat fight 1930, cosine similarity=0.21
threat fight 1940, cosine similarity=0.21
threat fight 1950, cosine similarity=0.17
threat fight 1960, cosine similarity=0.20
threat fight 1970, cosine similarity=0.20
threat fight 1980, cosine similarity=0.23

threat fright 1930, cosine similarity=0.12
threat fright 1940, cosine similarity=0.09
threat fright 1950, cosine similarity=0.10
threat fright 1960, cosine similarity=0.05
threat fright 1970, cosine similarity=0.01
threat fright 1980, cosine similarity=0.00

threat jail 1930, cosine similarity=0.09
threat jail 1940, cosine similarity=0.11
threat jail 1950, cosine similarity=0.13
threat jail 1960, cosine similarity=0.04
threat jail 1970, cosine similarity=0.06
threat jail 1980, cosine similarity=0.08

threat knife 1930, cosine similarity=0.04
threat knife 1940, cosine similarity=0.03
threat knife 1950, cosine similarity=0.06
threat knife 1960, cosine similarity=0.05
threat knife 1970, cosine similarity=0.02
threat knife 1980, cosine similarity=0.05

threat mad 1930, cosine similarity=0.00
threat mad 1940, cosine similarity=-0.01
threat mad 1950, cosine similarity=-0.03
threat mad 1960, cosine similarity=-0.02
threat mad 1970, cosine similarity=-0.08
threat mad 1980, cosine similarity=-0.04

threat problem 1930, cosine similarity=0.15
threat problem 1940, cosine similarity=0.16
threat problem 1950, cosine similarity=0.20
threat problem 1960, cosine similarity=0.25
threat problem 1970, cosine similarity=0.20
threat problem 1980, cosine similarity=0.16

threat punish 1930, cosine similarity=0.16
threat punish 1940, cosine similarity=0.15
threat punish 1950, cosine similarity=0.13
threat punish 1960, cosine similarity=0.16
threat punish 1970, cosine similarity=0.15
threat punish 1980, cosine similarity=0.17

threat worry 1930, cosine similarity=0.10
threat worry 1940, cosine similarity=0.20
threat worry 1950, cosine similarity=0.14
threat worry 1960, cosine similarity=0.17
threat worry 1970, cosine similarity=0.14
threat worry 1980, cosine similarity=0.16

three four 1930, cosine similarity=0.76
three four 1940, cosine similarity=0.75
three four 1950, cosine similarity=0.77
three four 1960, cosine similarity=0.76
three four 1970, cosine similarity=0.78
three four 1980, cosine similarity=0.77

three number 1930, cosine similarity=0.22
three number 1940, cosine similarity=0.26
three number 1950, cosine similarity=0.25
