gag choke 1930, cosine similarity=0.18
hair comb 1960, cosine similarity=0.39
hair comb 1970, cosine similarity=0.44
hair comb 1980, cosine similarity=0.42

hair long 1930, cosine similarity=0.22
hair long 1940, cosine similarity=0.19
hair long 1950, cosine similarity=0.26
hair long 1960, cosine similarity=0.14
hair long 1970, cosine similarity=0.26
hair long 1980, cosine similarity=0.22

hair brown 1930, cosine similarity=0.37
hair brown 1940, cosine similarity=0.31
hair brown 1950, cosine similarity=0.33
hair brown 1960, cosine similarity=0.30
hair brown 1970, cosine similarity=0.29
hair brown 1980, cosine similarity=0.34

hair head 1930, cosine similarity=0.33
hair head 1940, cosine similarity=0.33
hair head 1950, cosine similarity=0.35
hair head 1960, cosine similarity=0.36
hair head 1970, cosine similarity=0.33
hair head 1980, cosine similarity=0.34

hair blonde 1930, cosine similarity=0.35
hair blonde 1940, cosine similarity=0.38
hair blonde 1950, cosine similarity=0.34
hair blonde 1960, cosine similarity=0.36
hair blonde 1970, cosine similarity=0.38
hair blonde 1980, cosine similarity=0.43

hair cut 1930, cosine similarity=0.32
hair cut 1940, cosine similarity=0.33
hair cut 1950, cosine similarity=0.33
hair cut 1960, cosine similarity=0.29
hair cut 1970, cosine similarity=0.36
hair cut 1980, cosine similarity=0.31

hair style 1930, cosine similarity=0.10
hair style 1940, cosine similarity=0.20
hair style 1950, cosine similarity=0.13
hair style 1960, cosine similarity=0.22
hair style 1970, cosine similarity=0.16
hair style 1980, cosine similarity=0.09

hair black 1930, cosine similarity=0.37
hair black 1940, cosine similarity=0.37
hair black 1950, cosine similarity=0.39
hair black 1960, cosine similarity=0.35
hair black 1970, cosine similarity=0.35
hair black 1980, cosine similarity=0.29

hair shampoo 1930, cosine similarity=0.00
hair shampoo 1940, cosine similarity=0.00
hair shampoo 1950, cosine similarity=0.00
hair shampoo 1960, cosine similarity=0.00
hair shampoo 1970, cosine similarity=0.00
hair shampoo 1980, cosine similarity=0.31

hair hat 1930, cosine similarity=0.37
hair hat 1940, cosine similarity=0.37
hair hat 1950, cosine similarity=0.33
hair hat 1960, cosine similarity=0.37
hair hat 1970, cosine similarity=0.35
hair hat 1980, cosine similarity=0.34

hair wash 1930, cosine similarity=0.20
hair wash 1940, cosine similarity=0.20
hair wash 1950, cosine similarity=0.27
hair wash 1960, cosine similarity=0.30
hair wash 1970, cosine similarity=0.35
hair wash 1980, cosine similarity=0.29

hair piece 1930, cosine similarity=0.21
hair piece 1940, cosine similarity=0.17
hair piece 1950, cosine similarity=0.19
hair piece 1960, cosine similarity=0.18
hair piece 1970, cosine similarity=0.23
hair piece 1980, cosine similarity=0.24

hair color 1930, cosine similarity=0.30
hair color 1940, cosine similarity=0.27
hair color 1950, cosine similarity=0.30
hair color 1960, cosine similarity=0.28
hair color 1970, cosine similarity=0.31
hair color 1980, cosine similarity=0.31

hair curl 1930, cosine similarity=0.36
hair curl 1940, cosine similarity=0.31
hair curl 1950, cosine similarity=0.28
hair curl 1960, cosine similarity=0.29
hair curl 1970, cosine similarity=0.33
hair curl 1980, cosine similarity=0.29

hair dryer 1930, cosine similarity=0.00
hair dryer 1940, cosine similarity=0.00
hair dryer 1950, cosine similarity=0.17
hair dryer 1960, cosine similarity=0.18
hair dryer 1970, cosine similarity=0.22
hair dryer 1980, cosine similarity=0.24

hair lice 1930, cosine similarity=0.20
hair lice 1940, cosine similarity=0.18
hair lice 1950, cosine similarity=0.23
hair lice 1960, cosine similarity=0.25
hair lice 1970, cosine similarity=0.25
hair lice 1980, cosine similarity=0.26

hair straight 1930, cosine similarity=0.25
hair straight 1940, cosine similarity=0.23
hair straight 1950, cosine similarity=0.22
hair straight 1960, cosine similarity=0.21
hair straight 1970, cosine similarity=0.27
hair straight 1980, cosine similarity=0.25

hair teeth 1930, cosine similarity=0.29
hair teeth 1940, cosine similarity=0.29
hair teeth 1950, cosine similarity=0.32
hair teeth 1960, cosine similarity=0.33
hair teeth 1970, cosine similarity=0.36
hair teeth 1980, cosine similarity=0.34

haircut short 1930, cosine similarity=0.00
haircut short 1940, cosine similarity=0.00
haircut short 1950, cosine similarity=-0.07
haircut short 1960, cosine similarity=-0.05
haircut short 1970, cosine similarity=0.05
haircut short 1980, cosine similarity=0.07

haircut scissors 1930, cosine similarity=0.00
haircut scissors 1940, cosine similarity=0.00
haircut scissors 1950, cosine similarity=0.13
haircut scissors 1960, cosine similarity=0.06
haircut scissors 1970, cosine similarity=0.17
haircut scissors 1980, cosine similarity=0.14

haircut trim 1930, cosine similarity=0.00
haircut trim 1940, cosine similarity=0.00
haircut trim 1950, cosine similarity=0.18
haircut trim 1960, cosine similarity=0.20
haircut trim 1970, cosine similarity=0.11
haircut trim 1980, cosine similarity=0.04

haircut hair 1930, cosine similarity=0.00
haircut hair 1940, cosine similarity=0.00
haircut hair 1950, cosine similarity=0.07
haircut hair 1960, cosine similarity=0.12
haircut hair 1970, cosine similarity=0.08
haircut hair 1980, cosine similarity=0.15

haircut style 1930, cosine similarity=0.00
haircut style 1940, cosine similarity=0.00
haircut style 1950, cosine similarity=-0.01
haircut style 1960, cosine similarity=0.06
haircut style 1970, cosine similarity=-0.03
haircut style 1980, cosine similarity=-0.03

haircut barber 1930, cosine similarity=0.00
haircut barber 1940, cosine similarity=0.00
haircut barber 1950, cosine similarity=0.26
haircut barber 1960, cosine similarity=0.37
haircut barber 1970, cosine similarity=0.26
haircut barber 1980, cosine similarity=0.21

haircut salon 1930, cosine similarity=0.00
haircut salon 1940, cosine similarity=0.00
haircut salon 1950, cosine similarity=0.19
haircut salon 1960, cosine similarity=0.17
haircut salon 1970, cosine similarity=0.04
haircut salon 1980, cosine similarity=0.00

haircut bad 1930, cosine similarity=0.00
haircut bad 1940, cosine similarity=0.00
haircut bad 1950, cosine similarity=-0.07
haircut bad 1960, cosine similarity=-0.03
haircut bad 1970, cosine similarity=0.09
haircut bad 1980, cosine similarity=0.13

haircut no 1930, cosine similarity=0.00
haircut no 1940, cosine similarity=0.00
haircut no 1950, cosine similarity=0.03
haircut no 1960, cosine similarity=-0.01
haircut no 1970, cosine similarity=0.04
haircut no 1980, cosine similarity=0.11

haircut shave 1930, cosine similarity=0.00
haircut shave 1940, cosine similarity=0.00
haircut shave 1950, cosine similarity=0.46
haircut shave 1960, cosine similarity=0.45
haircut shave 1970, cosine similarity=0.44
haircut shave 1980, cosine similarity=0.37

haircut buzz 1930, cosine similarity=0.00
haircut buzz 1940, cosine similarity=0.00
haircut buzz 1950, cosine similarity=0.08
haircut buzz 1960, cosine similarity=0.10
haircut buzz 1970, cosine similarity=0.10
haircut buzz 1980, cosine similarity=0.18

haircut chop 1930, cosine similarity=0.00
haircut chop 1940, cosine similarity=0.00
haircut chop 1950, cosine similarity=0.18
haircut chop 1960, cosine similarity=0.15
haircut chop 1970, cosine similarity=0.19
haircut chop 1980, cosine similarity=0.20

haircut perm 1930, cosine similarity=0.00
haircut perm 1940, cosine similarity=0.00
haircut perm 1950, cosine similarity=0.00
haircut perm 1960, cosine similarity=0.00
haircut perm 1970, cosine similarity=0.08
haircut perm 1980, cosine similarity=0.00

haircut cheap 1930, cosine similarity=0.00
haircut cheap 1940, cosine similarity=0.00
haircut cheap 1950, cosine similarity=0.01
haircut cheap 1960, cosine similarity=0.04
haircut cheap 1970, cosine similarity=0.05
haircut cheap 1980, cosine similarity=0.05

haircut long 1930, cosine similarity=0.00
haircut long 1940, cosine similarity=0.00
haircut long 1950, cosine similarity=-0.08
haircut long 1960, cosine similarity=0.04
haircut long 1970, cosine similarity=0.07
haircut long 1980, cosine similarity=0.07

haircut messy 1930, cosine similarity=0.00
haircut messy 1940, cosine similarity=0.00
haircut messy 1950, cosine similarity=0.00
haircut messy 1960, cosine similarity=0.00
haircut messy 1970, cosine similarity=0.16
haircut messy 1980, cosine similarity=0.05

haircut needed 1930, cosine similarity=0.00
haircut needed 1940, cosine similarity=0.00
haircut needed 1950, cosine similarity=0.05
haircut needed 1960, cosine similarity=-0.02
haircut needed 1970, cosine similarity=0.10
haircut needed 1980, cosine similarity=0.07

haircut shampoo 1930, cosine similarity=0.00
haircut shampoo 1940, cosine similarity=0.00
haircut shampoo 1950, cosine similarity=0.00
haircut shampoo 1960, cosine similarity=0.00
haircut shampoo 1970, cosine similarity=0.00
haircut shampoo 1980, cosine similarity=0.20

haircut supercuts 1930, cosine similarity=0.00
haircut supercuts 1940, cosine similarity=0.00
haircut supercuts 1950, cosine similarity=0.00
haircut supercuts 1960, cosine similarity=0.00
haircut supercuts 1970, cosine similarity=0.00
haircut supercuts 1980, cosine similarity=0.00

hairspray sticky 1930, cosine similarity=0.00
hairspray sticky 1940, cosine similarity=0.00
hairspray sticky 1950, cosine similarity=0.00
hairspray sticky 1960, cosine similarity=0.00
hairspray sticky 1970, cosine similarity=0.00
hairspray sticky 1980, cosine similarity=0.00

hairspray hair 1930, cosine similarity=0.00
hairspray hair 1940, cosine similarity=0.00
hairspray hair 1950, cosine similarity=0.00
hairspray hair 1960, cosine similarity=0.00
hairspray hair 1970, cosine similarity=0.00
hairspray hair 1980, cosine similarity=0.00

hairspray stiff 1930, cosine similarity=0.00
hairspray stiff 1940, cosine similarity=0.00
hairspray stiff 1950, cosine similarity=0.00
hairspray stiff 1960, cosine similarity=0.00
hairspray stiff 1970, cosine similarity=0.00
hairspray stiff 1980, cosine similarity=0.00

hairspray hold 1930, cosine similarity=0.00
hairspray hold 1940, cosine similarity=0.00
hairspray hold 1950, cosine similarity=0.00
hairspray hold 1960, cosine similarity=0.00
hairspray hold 1970, cosine similarity=0.00
hairspray hold 1980, cosine similarity=0.00

hairspray smell 1930, cosine similarity=0.00
hairspray smell 1940, cosine similarity=0.00
hairspray smell 1950, cosine similarity=0.00
hairspray smell 1960, cosine similarity=0.00
hairspray smell 1970, cosine similarity=0.00
hairspray smell 1980, cosine similarity=0.00

hairspray gel 1930, cosine similarity=0.00
hairspray gel 1940, cosine similarity=0.00
hairspray gel 1950, cosine similarity=0.00
hairspray gel 1960, cosine similarity=0.00
hairspray gel 1970, cosine similarity=0.00
hairspray gel 1980, cosine similarity=0.00

hairspray ozone 1930, cosine similarity=0.00
hairspray ozone 1940, cosine similarity=0.00
hairspray ozone 1950, cosine similarity=0.00
hairspray ozone 1960, cosine similarity=0.00
hairspray ozone 1970, cosine similarity=0.00
hairspray ozone 1980, cosine similarity=0.00

hairspray shampoo 1930, cosine similarity=0.00
hairspray shampoo 1940, cosine similarity=0.00
hairspray shampoo 1950, cosine similarity=0.00
hairspray shampoo 1960, cosine similarity=0.00
hairspray shampoo 1970, cosine similarity=0.00
hairspray shampoo 1980, cosine similarity=0.00

hairspray spray 1930, cosine similarity=0.00
hairspray spray 1940, cosine similarity=0.00
hairspray spray 1950, cosine similarity=0.00
hairspray spray 1960, cosine similarity=0.00
hairspray spray 1970, cosine similarity=0.00
hairspray spray 1980, cosine similarity=0.00

hairspray hard 1930, cosine similarity=0.00
hairspray hard 1940, cosine similarity=0.00
hairspray hard 1950, cosine similarity=0.00
hairspray hard 1960, cosine similarity=0.00
hairspray hard 1970, cosine similarity=0.00
hairspray hard 1980, cosine similarity=0.00

hairspray mousse 1930, cosine similarity=0.00
hairspray mousse 1940, cosine similarity=0.00
hairspray mousse 1950, cosine similarity=0.00
hairspray mousse 1960, cosine similarity=0.00
hairspray mousse 1970, cosine similarity=0.00
hairspray mousse 1980, cosine similarity=0.00

hairspray comb 1930, cosine similarity=0.00
hairspray comb 1940, cosine similarity=0.00
hairspray comb 1950, cosine similarity=0.00
hairspray comb 1960, cosine similarity=0.00
hairspray comb 1970, cosine similarity=0.00
hairspray comb 1980, cosine similarity=0.00

hairspray aerosol 1930, cosine similarity=0.00
hairspray aerosol 1940, cosine similarity=0.00
hairspray aerosol 1950, cosine similarity=0.00
hairspray aerosol 1960, cosine similarity=0.00
hairspray aerosol 1970, cosine similarity=0.00
hairspray aerosol 1980, cosine similarity=0.00

hairspray brush 1930, cosine similarity=0.00
hairspray brush 1940, cosine similarity=0.00
hairspray brush 1950, cosine similarity=0.00
hairspray brush 1960, cosine similarity=0.00
hairspray brush 1970, cosine similarity=0.00
hairspray brush 1980, cosine similarity=0.00

hairspray can 1930, cosine similarity=0.00
hairspray can 1940, cosine similarity=0.00
hairspray can 1950, cosine similarity=0.00
hairspray can 1960, cosine similarity=0.00
hairspray can 1970, cosine similarity=0.00
hairspray can 1980, cosine similarity=0.00

hairspray girl 1930, cosine similarity=0.00
hairspray girl 1940, cosine similarity=0.00
hairspray girl 1950, cosine similarity=0.00
hairspray girl 1960, cosine similarity=0.00
hairspray girl 1970, cosine similarity=0.00
hairspray girl 1980, cosine similarity=0.00

hairspray movie 1930, cosine similarity=0.00
hairspray movie 1940, cosine similarity=0.00
hairspray movie 1950, cosine similarity=0.00
hairspray movie 1960, cosine similarity=0.00
hairspray movie 1970, cosine similarity=0.00
hairspray movie 1980, cosine similarity=0.00

hairspray salon 1930, cosine similarity=0.00
hairspray salon 1940, cosine similarity=0.00
hairspray salon 1950, cosine similarity=0.00
hairspray salon 1960, cosine similarity=0.00
hairspray salon 1970, cosine similarity=0.00
hairspray salon 1980, cosine similarity=0.00

hairspray woman 1930, cosine similarity=0.00
hairspray woman 1940, cosine similarity=0.00
hairspray woman 1950, cosine similarity=0.00
hairspray woman 1960, cosine similarity=0.00
hairspray woman 1970, cosine similarity=0.00
hairspray woman 1980, cosine similarity=0.00

hairy ape 1930, cosine similarity=0.43
hairy ape 1940, cosine similarity=0.37
hairy ape 1950, cosine similarity=0.32
hairy ape 1960, cosine similarity=0.38
hairy ape 1970, cosine similarity=0.35
hairy ape 1980, cosine similarity=0.30

hairy bald 1930, cosine similarity=0.34
hairy bald 1940, cosine similarity=0.31
hairy bald 1950, cosine similarity=0.24
hairy bald 1960, cosine similarity=0.35
hairy bald 1970, cosine similarity=0.24
hairy bald 1980, cosine similarity=0.26

hairy chest 1930, cosine similarity=0.23
hairy chest 1940, cosine similarity=0.17
hairy chest 1950, cosine similarity=0.18
hairy chest 1960, cosine similarity=0.23
hairy chest 1970, cosine similarity=0.14
hairy chest 1980, cosine similarity=0.17

hairy dog 1930, cosine similarity=0.22
hairy dog 1940, cosine similarity=0.17
hairy dog 1950, cosine similarity=0.16
hairy dog 1960, cosine similarity=0.27
hairy dog 1970, cosine similarity=0.24
hairy dog 1980, cosine similarity=0.28

hairy furry 1930, cosine similarity=0.00
hairy furry 1940, cosine similarity=0.00
hairy furry 1950, cosine similarity=0.00
hairy furry 1960, cosine similarity=0.00
hairy furry 1970, cosine similarity=0.00
hairy furry 1980, cosine similarity=0.34

hairy fuzzy 1930, cosine similarity=0.00
hairy fuzzy 1940, cosine similarity=0.00
hairy fuzzy 1950, cosine similarity=0.00
hairy fuzzy 1960, cosine similarity=0.38
hairy fuzzy 1970, cosine similarity=0.05
hairy fuzzy 1980, cosine similarity=-0.06

hairy gross 1930, cosine similarity=0.03
hairy gross 1940, cosine similarity=0.10
hairy gross 1950, cosine similarity=0.11
hairy gross 1960, cosine similarity=-0.00
hairy gross 1970, cosine similarity=0.05
hairy gross 1980, cosine similarity=0.02

hairy legs 1930, cosine similarity=0.34
hairy legs 1940, cosine similarity=0.25
hairy legs 1950, cosine similarity=0.29
hairy legs 1960, cosine similarity=0.32
hairy legs 1970, cosine similarity=0.29
hairy legs 1980, cosine similarity=0.23

hairy arms 1930, cosine similarity=0.12
hairy arms 1940, cosine similarity=0.15
hairy arms 1950, cosine similarity=0.16
hairy arms 1960, cosine similarity=0.21
hairy arms 1970, cosine similarity=0.13
hairy arms 1980, cosine similarity=0.06

hairy man 1930, cosine similarity=0.02
hairy man 1940, cosine similarity=0.14
hairy man 1950, cosine similarity=0.14
hairy man 1960, cosine similarity=0.20
hairy man 1970, cosine similarity=0.20
hairy man 1980, cosine similarity=0.14

hairy bear 1930, cosine similarity=0.11
hairy bear 1940, cosine similarity=0.05
hairy bear 1950, cosine similarity=0.09
hairy bear 1960, cosine similarity=0.14
hairy bear 1970, cosine similarity=0.07
hairy bear 1980, cosine similarity=-0.07

hairy back 1930, cosine similarity=0.05
hairy back 1940, cosine similarity=0.08
hairy back 1950, cosine similarity=0.08
hairy back 1960, cosine similarity=0.09
hairy back 1970, cosine similarity=0.03
hairy back 1980, cosine similarity=0.13

hairy gorilla 1930, cosine similarity=0.26
hairy gorilla 1940, cosine similarity=0.20
hairy gorilla 1950, cosine similarity=0.21
hairy gorilla 1960, cosine similarity=0.19
hairy gorilla 1970, cosine similarity=0.25
hairy gorilla 1980, cosine similarity=0.17

hairy long 1930, cosine similarity=0.14
hairy long 1940, cosine similarity=0.06
hairy long 1950, cosine similarity=0.13
hairy long 1960, cosine similarity=-0.05
hairy long 1970, cosine similarity=0.08
hairy long 1980, cosine similarity=-0.01

hairy monkey 1930, cosine similarity=0.29
hairy monkey 1940, cosine similarity=0.21
hairy monkey 1950, cosine similarity=0.24
hairy monkey 1960, cosine similarity=0.27
hairy monkey 1970, cosine similarity=0.29
hairy monkey 1980, cosine similarity=0.27

hairy monster 1930, cosine similarity=0.25
hairy monster 1940, cosine similarity=0.26
hairy monster 1950, cosine similarity=0.13
hairy monster 1960, cosine similarity=0.23
hairy monster 1970, cosine similarity=0.17
hairy monster 1980, cosine similarity=0.08

hairy shave 1930, cosine similarity=0.12
hairy shave 1940, cosine similarity=0.11
hairy shave 1950, cosine similarity=0.13
hairy shave 1960, cosine similarity=0.14
hairy shave 1970, cosine similarity=0.14
hairy shave 1980, cosine similarity=0.13

hairy smooth 1930, cosine similarity=0.25
hairy smooth 1940, cosine similarity=0.20
hairy smooth 1950, cosine similarity=0.22
hairy smooth 1960, cosine similarity=0.24
hairy smooth 1970, cosine similarity=0.19
hairy smooth 1980, cosine similarity=0.20

hairy ugly 1930, cosine similarity=0.19
hairy ugly 1940, cosine similarity=0.31
hairy ugly 1950, cosine similarity=0.16
hairy ugly 1960, cosine similarity=0.25
hairy ugly 1970, cosine similarity=0.18
hairy ugly 1980, cosine similarity=0.14

hairy animal 1930, cosine similarity=0.14
hairy animal 1940, cosine similarity=0.17
hairy animal 1950, cosine similarity=0.15
hairy animal 1960, cosine similarity=0.23
hairy animal 1970, cosine similarity=0.16
hairy animal 1980, cosine similarity=0.16

hairy beast 1930, cosine similarity=0.13
hairy beast 1940, cosine similarity=0.26
hairy beast 1950, cosine similarity=0.21
hairy beast 1960, cosine similarity=0.26
hairy beast 1970, cosine similarity=0.20
hairy beast 1980, cosine similarity=0.13

hairy black 1930, cosine similarity=0.29
hairy black 1940, cosine similarity=0.29
hairy black 1950, cosine similarity=0.33
hairy black 1960, cosine similarity=0.18
hairy black 1970, cosine similarity=0.16
hairy black 1980, cosine similarity=0.14

hairy dirty 1930, cosine similarity=0.21
hairy dirty 1940, cosine similarity=0.17
hairy dirty 1950, cosine similarity=0.19
hairy dirty 1960, cosine similarity=0.19
hairy dirty 1970, cosine similarity=0.17
hairy dirty 1980, cosine similarity=0.16

hairy hair 1930, cosine similarity=0.33
hairy hair 1940, cosine similarity=0.30
hairy hair 1950, cosine similarity=0.33
hairy hair 1960, cosine similarity=0.35
hairy hair 1970, cosine similarity=0.32
hairy hair 1980, cosine similarity=0.30

hairy yuck 1930, cosine similarity=0.00
hairy yuck 1940, cosine similarity=0.00
hairy yuck 1950, cosine similarity=0.00
hairy yuck 1960, cosine similarity=0.00
hairy yuck 1970, cosine similarity=0.00
hairy yuck 1980, cosine similarity=0.00

half whole 1930, cosine similarity=0.11
half whole 1940, cosine similarity=0.23
half whole 1950, cosine similarity=0.17
half whole 1960, cosine similarity=0.22
half whole 1970, cosine similarity=0.24
half whole 1980, cosine similarity=0.18

half part 1930, cosine similarity=0.12
half part 1940, cosine similarity=0.15
half part 1950, cosine similarity=0.11
half part 1960, cosine similarity=0.19
half part 1970, cosine similarity=0.19
half part 1980, cosine similarity=0.19

half full 1930, cosine similarity=0.13
half full 1940, cosine similarity=0.19
half full 1950, cosine similarity=0.14
half full 1960, cosine similarity=0.16
half full 1970, cosine similarity=0.15
half full 1980, cosine similarity=0.23

half moon 1930, cosine similarity=0.27
half moon 1940, cosine similarity=0.16
half moon 1950, cosine similarity=0.21
half moon 1960, cosine similarity=0.22
half moon 1970, cosine similarity=0.24
half moon 1980, cosine similarity=0.16

half quarter 1930, cosine similarity=0.62
half quarter 1940, cosine similarity=0.66
half quarter 1950, cosine similarity=0.62
half quarter 1960, cosine similarity=0.69
half quarter 1970, cosine similarity=0.67
half quarter 1980, cosine similarity=0.64

half demi 1930, cosine similarity=0.02
half demi 1940, cosine similarity=0.03
half demi 1950, cosine similarity=0.07
half demi 1960, cosine similarity=-0.06
half demi 1970, cosine similarity=-0.00
half demi 1980, cosine similarity=-0.02

half fraction 1930, cosine similarity=0.28
half fraction 1940, cosine similarity=0.34
half fraction 1950, cosine similarity=0.33
half fraction 1960, cosine similarity=0.32
half fraction 1970, cosine similarity=0.23
half fraction 1980, cosine similarity=0.31

half gallon 1930, cosine similarity=0.37
half gallon 1940, cosine similarity=0.30
half gallon 1950, cosine similarity=0.38
half gallon 1960, cosine similarity=0.30
half gallon 1970, cosine similarity=0.28
half gallon 1980, cosine similarity=0.32

hall hallway 1930, cosine similarity=0.38
hall hallway 1940, cosine similarity=0.41
hall hallway 1950, cosine similarity=0.36
hall hallway 1960, cosine similarity=0.32
hall hallway 1970, cosine similarity=0.34
hall hallway 1980, cosine similarity=0.43

hall corridor 1930, cosine similarity=0.43
hall corridor 1940, cosine similarity=0.41
hall corridor 1950, cosine similarity=0.38
hall corridor 1960, cosine similarity=0.37
hall corridor 1970, cosine similarity=0.44
hall corridor 1980, cosine similarity=0.42

hall room 1930, cosine similarity=0.46
hall room 1940, cosine similarity=0.44
hall room 1950, cosine similarity=0.37
hall room 1960, cosine similarity=0.40
hall room 1970, cosine similarity=0.38
hall room 1980, cosine similarity=0.38

hall school 1930, cosine similarity=0.17
hall school 1940, cosine similarity=0.11
hall school 1950, cosine similarity=0.18
hall school 1960, cosine similarity=0.12
hall school 1970, cosine similarity=0.10
hall school 1980, cosine similarity=0.19

hall door 1930, cosine similarity=0.34
hall door 1940, cosine similarity=0.41
hall door 1950, cosine similarity=0.32
hall door 1960, cosine similarity=0.35
hall door 1970, cosine similarity=0.39
hall door 1980, cosine similarity=0.33

hall dorm 1930, cosine similarity=0.00
hall dorm 1940, cosine similarity=0.00
hall dorm 1950, cosine similarity=0.00
hall dorm 1960, cosine similarity=0.00
hall dorm 1970, cosine similarity=0.24
hall dorm 1980, cosine similarity=0.12

hall long 1930, cosine similarity=0.02
hall long 1940, cosine similarity=0.02
hall long 1950, cosine similarity=-0.02
hall long 1960, cosine similarity=-0.03
hall long 1970, cosine similarity=-0.03
hall long 1980, cosine similarity=0.02

hall class 1930, cosine similarity=0.06
hall class 1940, cosine similarity=0.00
hall class 1950, cosine similarity=-0.02
hall class 1960, cosine similarity=-0.01
hall class 1970, cosine similarity=-0.05
hall class 1980, cosine similarity=0.06

hall entrance 1930, cosine similarity=0.32
hall entrance 1940, cosine similarity=0.28
hall entrance 1950, cosine similarity=0.33
hall entrance 1960, cosine similarity=0.38
hall entrance 1970, cosine similarity=0.32
hall entrance 1980, cosine similarity=0.35

hall foyer 1930, cosine similarity=0.27
hall foyer 1940, cosine similarity=0.25
hall foyer 1950, cosine similarity=0.21
hall foyer 1960, cosine similarity=0.27
hall foyer 1970, cosine similarity=0.30
hall foyer 1980, cosine similarity=0.37

hall passage 1930, cosine similarity=0.09
hall passage 1940, cosine similarity=0.05
hall passage 1950, cosine similarity=0.05
hall passage 1960, cosine similarity=0.06
hall passage 1970, cosine similarity=-0.00
hall passage 1980, cosine similarity=-0.01

hall aisle 1930, cosine similarity=0.36
hall aisle 1940, cosine similarity=0.36
hall aisle 1950, cosine similarity=0.37
hall aisle 1960, cosine similarity=0.36
hall aisle 1970, cosine similarity=0.35
hall aisle 1980, cosine similarity=0.29

hall lobby 1930, cosine similarity=0.47
hall lobby 1940, cosine similarity=0.47
hall lobby 1950, cosine similarity=0.45
hall lobby 1960, cosine similarity=0.39
hall lobby 1970, cosine similarity=0.40
hall lobby 1980, cosine similarity=0.42

hall walk 1930, cosine similarity=0.19
hall walk 1940, cosine similarity=0.16
hall walk 1950, cosine similarity=0.19
hall walk 1960, cosine similarity=0.25
hall walk 1970, cosine similarity=0.25
hall walk 1980, cosine similarity=0.20

hall walkway 1930, cosine similarity=0.00
hall walkway 1940, cosine similarity=0.00
hall walkway 1950, cosine similarity=0.00
hall walkway 1960, cosine similarity=0.00
hall walkway 1970, cosine similarity=0.00
hall walkway 1980, cosine similarity=0.12

hall closet 1930, cosine similarity=0.28
hall closet 1940, cosine similarity=0.34
hall closet 1950, cosine similarity=0.25
hall closet 1960, cosine similarity=0.25
hall closet 1970, cosine similarity=0.30
hall closet 1980, cosine similarity=0.26

hall home 1930, cosine similarity=0.15
hall home 1940, cosine similarity=0.19
hall home 1950, cosine similarity=0.09
hall home 1960, cosine similarity=0.06
hall home 1970, cosine similarity=0.13
hall home 1980, cosine similarity=0.14

hall path 1930, cosine similarity=0.08
hall path 1940, cosine similarity=0.05
hall path 1950, cosine similarity=0.13
hall path 1960, cosine similarity=0.10
hall path 1970, cosine similarity=0.13
hall path 1980, cosine similarity=0.09

hall sport 1930, cosine similarity=-0.16
hall sport 1940, cosine similarity=-0.07
hall sport 1950, cosine similarity=-0.03
hall sport 1960, cosine similarity=-0.04
hall sport 1970, cosine similarity=-0.04
hall sport 1980, cosine similarity=0.01

halloween pumpkin 1930, cosine similarity=0.00
halloween pumpkin 1940, cosine similarity=0.00
halloween pumpkin 1950, cosine similarity=0.00
halloween pumpkin 1960, cosine similarity=0.00
halloween pumpkin 1970, cosine similarity=0.22
halloween pumpkin 1980, cosine similarity=0.22

halloween candy 1930, cosine similarity=0.00
halloween candy 1940, cosine similarity=0.00
halloween candy 1950, cosine similarity=0.00
halloween candy 1960, cosine similarity=0.00
halloween candy 1970, cosine similarity=0.20
halloween candy 1980, cosine similarity=0.28

halloween costume 1930, cosine similarity=0.00
halloween costume 1940, cosine similarity=0.00
halloween costume 1950, cosine similarity=0.00
halloween costume 1960, cosine similarity=0.00
halloween costume 1970, cosine similarity=0.27
halloween costume 1980, cosine similarity=0.17

halloween ghost 1930, cosine similarity=0.00
halloween ghost 1940, cosine similarity=0.00
halloween ghost 1950, cosine similarity=0.00
halloween ghost 1960, cosine similarity=0.00
halloween ghost 1970, cosine similarity=0.26
halloween ghost 1980, cosine similarity=0.11

halloween mask 1930, cosine similarity=0.00
halloween mask 1940, cosine similarity=0.00
halloween mask 1950, cosine similarity=0.00
halloween mask 1960, cosine similarity=0.00
halloween mask 1970, cosine similarity=0.19
halloween mask 1980, cosine similarity=0.04

halloween scary 1930, cosine similarity=0.00
halloween scary 1940, cosine similarity=0.00
halloween scary 1950, cosine similarity=0.00
halloween scary 1960, cosine similarity=0.00
halloween scary 1970, cosine similarity=0.21
halloween scary 1980, cosine similarity=0.18

halloween witch 1930, cosine similarity=0.00
halloween witch 1940, cosine similarity=0.00
halloween witch 1950, cosine similarity=0.00
halloween witch 1960, cosine similarity=0.00
halloween witch 1970, cosine similarity=0.25
halloween witch 1980, cosine similarity=0.16

halloween black 1930, cosine similarity=0.00
halloween black 1940, cosine similarity=0.00
halloween black 1950, cosine similarity=0.00
halloween black 1960, cosine similarity=0.00
halloween black 1970, cosine similarity=0.08
halloween black 1980, cosine similarity=0.03

halloween jack-o-lantern 1930, cosine similarity=0.00
